id,reference,generated,rouge1,rouge2,rougeL
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","Here is a 3 sentence summary of the news article:

Donald Trump posted a photo of himself writing at Mar-a-Lago, claiming to be working on his inaugural address, although it's unclear if he actually wrote the speech himself. The speech, which emphasized transferring power from Washington to the people, resonated with Trump supporters who felt left out of American progress. Despite some critics drawing comparisons to a Batman villain's speech, Fox News commentator Guy Benson argued that Trump's rhetoric remains popular with his supporters, who appreciate his ""I will never ignore you"" theme.",19.83,5.04,11.57
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Eluned Morgan, the Welsh Minister for International Relations, stated that it would be legally difficult for Wales to stop the UK government from including the NHS in trade negotiations with the US. Her comments came after US President Donald Trump suggested the NHS could be ""on the table"" in future trade talks, although he later backtracked on his statement. Labour AM Alun Davies criticized Morgan's response, saying that threatening legal action is not enough and that the Welsh government needs a stronger legal basis to influence trade deals.",33.9,12.07,18.64
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia (UEA) accidentally sent an email to 298 students containing a spreadsheet with personal and sensitive information about 42 students, including health problems and family bereavements. A student, Megan Baynes, described feeling ""sick and horrified"" upon discovering her personal details had been shared, and the university has apologized ""unreservedly"" for the data breach. The UEA has launched an inquiry into the incident, which has been condemned by the students' union as ""shocking and utterly unacceptable"", particularly given the university's supposed prioritization of mental health.",22.43,5.71,14.95
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","Here is a 3 sentence summary of the news article:

In England, only 1.9% of girls chose to study A-level physics in 2016, compared to 6.5% of boys, with 44% of schools sending no girls to study the subject at all. The Institute of Physics (IoP) notes that this gender imbalance has changed little in decades, with no evidence to suggest intrinsic differences in ability or interest between girls and boys. The IoP is hosting a summit to address this issue and close the gender gap in physics A-level uptake, as physics-based skills are essential for many future careers and girls are missing out on rewarding and fulfilling opportunities.",23.19,10.29,17.39
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","John Allan, chairman of Tesco and the CBI's president, expressed his personal view that the UK's political impasse over Brexit could be resolved with a second referendum if politicians cannot agree. He noted that 27 European countries have shown greater solidarity and ability to agree on issues than UK politicians, and suggested that MPs should put aside their prejudices and party interests to find a settlement. Allan emphasized the need for an open-minded approach, prioritizing the national interest over personal or party interests, to break the current deadlock and reach an agreement.",24.0,4.88,16.0
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","Footage from Berlin D2 in Dublin showed a man pouring drinks into people's mouths, violating social distancing guidelines that require patrons to sit at tables unless paying, leaving, or using the toilet. The incident has sparked outrage, with Health Minister Stephen Donnelly condemning the ""reckless actions"" that could have significant repercussions on the community. The venue's management, including restaurateur Jay Bourke, has apologized and claimed that the footage does not fully reflect the situation, stating that patrons were largely complying with guidelines for most of the event.",25.69,5.61,11.01
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Here is a 3 sentence summary of the news article:

Labour MP Emily Thornberry sparked controversy with a tweet featuring a photo of a house covered in British flags, which some perceived as mocking patriotism. The tweet was quickly seized upon by Conservative politicians, including Prime Minister David Cameron and Communities Secretary Eric Pickles, who accused Thornberry of sneering at working-class people and patriotism. Thornberry later clarified that she was simply remarking on the unusual sight of a house completely covered in flags, and had not intended to offend anyone.",21.31,6.67,14.75
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"A fire broke out in a static caravan in the East Mains of Pitfour area near Mintlaw on Wednesday morning, prompting an emergency response. The Scottish Fire and Rescue Service extinguished the flames, but sadly, the body of a 77-year-old man was found inside the caravan. Police Scotland and the fire service are investigating the circumstances surrounding the fire, with a report to be submitted to the procurator fiscal.",23.53,7.23,18.82
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"Lewis Williams, 20, was fatally shot on January 11 in Mexborough, and two new arrests have been made in connection with his death, bringing the total to eight. A 20-year-old man and a 49-year-old man were arrested on Friday, with the younger man suspected of murder and the older man suspected of assisting an offender. Two teenage boys, aged 16 and 17, have already been charged with Mr. Williams' murder and are due to appear in court on February 1.",18.75,6.38,14.58
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"Actor Brian Blessed has been nominated as a candidate for the role of Chancellor of the University of Cambridge, thanks to a Facebook campaign that secured him 50 nominations. He will be competing against supermarket heir Lord Sainsbury, who is the university's official candidate, and local shopkeeper Abdul Arain. Blessed has expressed his enthusiasm for the role, praising the university's ""brightness and light"" and envisioning himself reciting Latin at graduation ceremonies.",25.29,14.12,20.69
