id,precision,recall,banglasummeval_f1
140427_pg_bd_heat_dhaka_ac,66.66666666666666,50.0,57.14285714285714
news-52808250,54.54545454545454,33.33333333333333,41.37931034482758
news-56080104,71.42857142857143,100.0,83.33333333333333
news-45155508,78.57142857142857,33.33333333333333,46.80851063829787
news-39844487,52.94117647058824,83.33333333333334,64.74820143884894
news-54230851,57.89473684210527,50.0,53.65853658536586
news-53549847,50.0,50.0,50.0
news-49047323,50.0,33.33333333333333,40.0
news-54239981,55.00000000000001,16.666666666666664,25.581395348837205
news-49141918,60.0,33.33333333333333,42.857142857142854
news-42949518,61.904761904761905,66.66666666666666,64.19753086419753
news-45408278,54.54545454545454,66.66666666666666,60.0
news-46205974,43.47826086956522,50.0,46.51162790697675
news-56880849,64.0,33.33333333333333,43.83561643835616
news-39127107,52.0,83.33333333333334,64.03940886699507
news-49144997,57.14285714285714,50.0,53.33333333333333
news-56878093,46.15384615384615,66.66666666666666,54.54545454545453
news-51083336,86.66666666666667,66.66666666666666,75.36231884057972
news-49709690,53.84615384615385,100.0,70.0
news-47301727,55.55555555555556,50.0,52.63157894736842
news-56728594,66.66666666666666,66.66666666666666,66.66666666666666
news-46002945,66.66666666666666,50.0,57.14285714285714
news-46679946,48.148148148148145,83.33333333333334,61.032863849765256
news-56546869,62.5,66.66666666666666,64.51612903225806
news-48499557,64.70588235294117,83.33333333333334,72.8476821192053
news-45932627,75.0,33.33333333333333,46.153846153846146
news-42139703,50.0,66.66666666666666,57.14285714285714
news-52668365,51.724137931034484,66.66666666666666,58.25242718446602
news-48081272,66.66666666666666,0.0,0.0
news-40377323,50.0,83.33333333333334,62.5
news-55754177,64.28571428571429,16.666666666666664,26.470588235294112
news-48151325,72.72727272727273,33.33333333333333,45.71428571428571
news-48290970,45.45454545454545,66.66666666666666,54.05405405405405
news-48742054,50.0,50.0,50.0
news-52220120,56.52173913043478,50.0,53.06122448979592
news-52345995,57.14285714285714,66.66666666666666,61.53846153846153
news-48488145,52.94117647058824,66.66666666666666,59.01639344262295
news-46175088,86.66666666666667,83.33333333333334,84.96732026143792
news-49173643,56.00000000000001,66.66666666666666,60.86956521739131
news-55427149,61.53846153846154,50.0,55.172413793103445
news-56602385,55.55555555555556,83.33333333333334,66.66666666666667
news-55075456,60.0,50.0,54.54545454545455
news-55806686,83.33333333333334,16.666666666666664,27.77777777777778
news-50441857,63.1578947368421,33.33333333333333,43.63636363636364
news-50280907,73.68421052631578,50.0,59.57446808510638
news-41902828,64.28571428571429,50.0,56.25000000000001
news-56766795,58.82352941176471,16.666666666666664,25.97402597402597
news-51629780,60.0,66.66666666666666,63.1578947368421
news-54898675,50.0,33.33333333333333,40.0
news-51381825,50.0,50.0,50.0
news-44246998,57.14285714285714,33.33333333333333,42.10526315789473
news-49362977,80.95238095238095,50.0,61.818181818181806
news-45332030,64.28571428571429,50.0,56.25000000000001
news-48872060,44.44444444444444,50.0,47.05882352941176
news-48835708,72.72727272727273,100.0,84.21052631578947
news-51217515,78.94736842105263,100.0,88.23529411764706
news-46972950,38.095238095238095,66.66666666666666,48.48484848484848
news-42326655,75.0,83.33333333333334,78.94736842105264
news-48303883,60.0,50.0,54.54545454545455
news-46874688,64.70588235294117,66.66666666666666,65.67164179104476
news-50798626,66.66666666666666,66.66666666666666,66.66666666666666
news-55242258,47.05882352941176,50.0,48.48484848484848
news-54159266,40.0,66.66666666666666,49.99999999999999
news-46578414,53.125,66.66666666666666,59.13043478260869
news-40652345,85.0,33.33333333333333,47.88732394366197
news-45011087,60.0,100.0,75.0
news-53929704,82.35294117647058,83.33333333333334,82.84023668639054
news-38298663,52.94117647058824,50.0,51.42857142857144
140925_mk_islamic_scholar_is_isis_isil_open_letter,52.94117647058824,66.66666666666666,59.01639344262295
news-49956427,73.33333333333333,33.33333333333333,45.83333333333333
news-47885378,52.17391304347826,66.66666666666666,58.536585365853654
news-44220246,76.19047619047619,66.66666666666666,71.11111111111111
news-44672332,72.22222222222221,33.33333333333333,45.614035087719294
news-48904836,61.111111111111114,50.0,55.0
news-45083152,65.85365853658537,50.0,56.8421052631579
160530_indian_visa_new_system,73.68421052631578,66.66666666666666,69.99999999999999
news-52621715,58.82352941176471,50.0,54.054054054054056
news-55467465,55.00000000000001,66.66666666666666,60.273972602739725
news-40867894,52.63157894736842,66.66666666666666,58.8235294117647
160605_chittaggong_sp_wife_killed,77.27272727272727,50.0,60.714285714285715
news-44118154,76.92307692307693,100.0,86.95652173913044
news-45387880,68.18181818181817,50.0,57.692307692307686
news-48795028,50.0,50.0,50.0
news-44842983,57.14285714285714,66.66666666666666,61.53846153846153
news-45007894,73.91304347826086,50.0,59.64912280701754
news-48808226,47.82608695652174,33.33333333333333,39.285714285714285
news-52829564,76.47058823529412,66.66666666666666,71.23287671232876
news-45744692,69.23076923076923,66.66666666666666,67.92452830188678
news-57063900,50.0,100.0,66.66666666666667
news-55761742,65.0,100.0,78.78787878787878
news-48324350,69.23076923076923,66.66666666666666,67.92452830188678
news-46797204,52.17391304347826,0.0,0.0
news-47648503,60.86956521739131,100.0,75.67567567567568
news-51264653,50.0,50.0,50.0
news-39614808,71.42857142857143,66.66666666666666,68.96551724137932
160418_traficked_bangladeshi_women_unlawfully_kept_in_indian_jails,68.42105263157895,50.0,57.77777777777777
news-40319155,58.82352941176471,50.0,54.054054054054056
news-52518908,60.0,16.666666666666664,26.08695652173913
news-47766524,71.42857142857143,66.66666666666666,68.96551724137932
news-56931107,60.0,16.666666666666664,26.08695652173913
