id,reference,generated,rouge1,rouge2,rougeL
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","Donald Trump’s inaugural address delivered a populist message centered on transferring political power from Washington to ordinary Americans. While some critics compared his rhetoric to a fictional villain's speech, supporters and commentators argue it strongly resonates with voters who feel overlooked by coastal elites. The remarks reinforced the campaign's core theme of championing citizens who believe they have been ignored by the political establishment.",26.67,2.27,17.78
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Welsh Minister Eluned Morgan acknowledged that the Welsh Government legally lacks a veto over UK trade deals but insisted it is politically highly unlikely that the NHS would be included in post-Brexit negotiations. Her remarks followed Donald Trump’s controversial suggestion that the NHS could be part of UK-US trade talks, which he later retracted after widespread criticism. Meanwhile, Labour AM Alun Davies questioned the Welsh Government’s legal standing to influence such agreements, as officials continue drafting a formal concordat with Westminster to ensure proper consultation on future trade deals.",31.15,6.67,16.39
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia accidentally emailed a spreadsheet containing sensitive personal and health information of 42 students to nearly 300 undergraduates. Affected students expressed shock and distress over the exposure of deeply private details, while the Students' Union condemned the incident as an unacceptable data breach. In response, the university issued an unreserved apology and launched a formal inquiry into how the confidential information was mishandled.",25.88,2.41,16.47
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","Despite a slight increase, only 1.9% of girls in England chose A-level physics in 2016 compared to 6.5% of boys, with nearly half of schools sending no female students. Experts attribute this persistent gap to harmful stereotypes and classroom culture rather than any inherent difference in ability or interest. Warning that these choices limit future career opportunities, the Institute of Physics is hosting a summit to develop strategies for closing the gender divide.",24.0,8.16,16.0
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","CBI president John Allan stated that, in his personal view, the UK should hold a second Brexit referendum if politicians cannot reach a withdrawal agreement. He criticized UK lawmakers for failing to match the efficiency and solidarity demonstrated by the 27 European Union nations during negotiations. Allan urged MPs to set aside partisan red lines and personal interests to prioritize the national interest and break the current political impasse.",24.24,4.12,18.18
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","Viral footage from a Dublin venue showed patrons violating pandemic guidelines by standing at the bar and having drinks poured into their mouths. Health Minister Stephen Donnelly strongly condemned the reckless behavior, warning that such actions undermine public health efforts and could have serious consequences. Venue owner Jay Bourke expressed deep embarrassment but defended the establishment, stating that most attendees initially followed safety protocols and that the viral clip did not accurately represent the overall event.",16.67,2.13,10.42
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Labour MP Emily Thornberry sparked a political controversy after tweeting a photograph of a house completely covered in English flags during a by-election campaign. The image drew immediate criticism from Conservative leaders and some Labour colleagues, who accused her of mocking national pride and working-class patriotism. Thornberry quickly backpedaled, clarifying that she intended only to express surprise at the unusual display and had no intention of offending anyone.",25.74,8.08,15.84
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"Emergency services responded to a static caravan fire in the East Mains of Pitfour area near Mintlaw on Wednesday morning. Firefighters extinguished the blaze but tragically discovered the body of a 77-year-old man inside. Police Scotland are investigating the circumstances, and a formal report will be submitted to the procurator fiscal.",26.87,15.38,17.91
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"South Yorkshire Police have arrested two additional men, aged 20 and 49, in connection with the fatal shotgun shooting of 20-year-old Lewis Williams in Mexborough. This brings the total number of arrests to eight, with two teenagers already charged with murder and scheduled to appear in court on February 1. The newly detained suspects remain in custody, while four other previously arrested men have been released on bail.",21.95,7.5,17.07
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"Actor and mountaineer Brian Blessed has successfully secured the required nominations to run for Chancellor of Cambridge University following a student-led Facebook campaign. He will now compete against the university's official candidate, supermarket heir Lord Sainsbury, as well as local shopkeeper Abdul Arain. This unexpected challenge transforms what was anticipated to be a routine succession into a competitive election for the prestigious role.",27.85,15.58,20.25
