id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","জাতিসংঘের জাতিগত বৈষম্য বিষয়ক কমিটির সদস্য গে ম্যাকডুগাল অভিযোগ করেছেন যে চীনা কর্তৃপক্ষ উইগুর মুসলিমদের গণহারে আটক করে বিভিন্ন বন্দীশিবিরে নেয়া হচ্ছে। তিনি বলেন, এমন খবর তিনি পেয়েছেন যে চীনা কর্তৃপক্ষ স্বায়ত্তশাসিত উইগুর প্রদেশকে কার্যত ""বিশাল একটি বন্দীশিবিরে"" রূপান্তরিত করেছে। চীন সাথে সাথে এর কোনো জবাব দেয়নি, তবে ৫০-সদস্যের চীনা প্রতিনিধিদলের পক্ষ থেকে বলা হয়, সোমবার এই অভিযোগের জবাব দেওয়া হবে।",17.58,0.0,13.19
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,"তামিলনাড়ু রাজ্যে কোকা-কোলা ও পেপসি নিষিদ্ধ করা হয়েছে। রাজ্যের শীর্ষ দুটি ব্যবসায়ী এসোসিয়েশন এই দুটি পানীয় নিষিদ্ধ করার প্রস্তাব করেছিল। কোমল পানীয়ের প্রতিষ্ঠানগুলো নদী থেকে প্রচুর পানি ব্যবহার করে, সেকারণে কৃষকদের জমি সেচের সময়ও ব্যাপক ভোগান্তিতে পড়তে হয়। রাজ্যের দশ লাখেরও বেশি দোকানদার এ নিষেধাজ্ঞা মেনে চলবে বলে ধারণা করা হচ্ছে।",15.15,9.38,15.15
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","বাংলাদেশে ডেঙ্গু রোগের প্রকোপ বেড়ে যাওয়ায় দেশের বিভিন্ন হাসপাতালে রোগীর সংখ্যা বাড়ছে। স্বাস্থ্য অধিদপ্তরের মহাপরিচালক আবুল কালাম আজাদ বলেছেন, ডেঙ্গু নিয়ে আতঙ্ক তৈরি হয়েছে, তাই অনেকেই হাসপাতালে ভর্তি হতে চাচ্ছেন যাদের ভর্তি হওয়ার দরকার নেই। স্বাস্থ্য অধিদপ্তর বিভিন্ন ধরণের পদক্ষেপ নিয়েছে পরিস্থিতি সামাল দিতে।",19.35,10.0,12.9
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,"মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প টুইটারে অভিযোগ করেছেন যে টুইটার আমেরিকার ২০২০ নির্বাচনে হস্তক্ষেপ করছে। টুইটার তার পোস্টের সাথে একটি সতর্কবার্তা যুক্ত করেছে, যেখানে বলা হয়েছে যে তার দাবি ""ভিত্তিহীন""। প্রেসিডেন্ট ট্রাম্প উত্তরে টুইট করেছেন যে টুইটার ""বাক স্বাধীনতার পুরো কণ্ঠরোধ করছে""।",16.13,3.33,12.9
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","বাংলাদেশের উত্তরাঞ্চলের কুড়িগ্রাম জেলার চিলমারী উপজেলা বন্যায় সবচেয়ে বেশি প্লাবিত হয়েছে। এই এলাকার বাসিন্দারা জানিয়েছেন যে তাদের বাড়িঘর পানিতে তলিয়ে গিয়েছে এবং তারা আশ্রয় কেন্দ্রে চলে যাচ্ছেন। বন্যা পূর্বাভাস ও সতর্কীকরণ কেন্দ্র জানিয়েছে যে ফরিদপুর, মানিকগঞ্জ, মুন্সিগঞ্জ ও রাজবাড়ী জেলাগুলো আগামী ২৪ ঘণ্টার মধ্যে বন্যায় প্লাবিত হবে।",30.14,8.45,24.66
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","ভারতের স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং বলেছেন যে মাওবাদীদের দমনে সরকারি কৌশলে বিরাট কোনও পরিবর্তন হচ্ছে না। তিনি বলেন, মাওবাদীদের সঙ্গে শান্তি-আলোচনার কথা সরকার ভাবছে না। স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং আরও বলেন, মাওবাদী সমস্যা মোকাবেলার জন্য স্বল্প, মাঝারি ও দীর্ঘমেয়াদে নানা ধরনের হাতিয়ার ব্যবহার করতে হবে।",15.38,5.26,12.82
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"বিএনপি নেতারা খালেদা জিয়ার মুক্তির দাবিতে বিক্ষোভের পাশাপাশি নিয়মিত বিদেশী কূটনীতিকদের সাথে কথা বলছেন। বিএনপি মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর বলেছেন, তারা দেশের রাজনৈতিক পরিস্থিতি সম্পর্কে বিদেশি কূটনীতিকদের কাছে একটা ধারণা দেয়ার চেষ্টা করেন। বিশ্লেষকরা মনে করেন, আগামী নির্বাচনের আগে বিভিন্ন রাজনৈতিক ইস্যুতে প্রভাবশালী দেশগুলো যাতে সরকারের উপর চাপ সৃষ্টি করে, সেই প্রত্যাশা থেকে বিএনপি এখন ঘন ঘন কূটনীতিকদের নিয়ে বৈঠক করছে।",30.23,9.52,18.6
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।","বাংলাদেশে করোনাভাইরাস সংক্রমণের দ্বিতীয় ঢেউ আসার আশঙ্কা করা হচ্ছে। দেশটিতে গত তিন সপ্তাহ ধরে দৈনিক শনাক্তের সংখ্যা দুই হাজারের নিচে নেমে এসেছে। জাতীয় কারিগরি পরামর্শক কমিটি সংবাদ বিজ্ঞপ্তি দিয়ে জানিয়েছে, সংক্রমণের হার নিম্নমুখী হলেও এখনো হার স্বস্তিকর পর্যায়ে যায়নি। কমিটি পরামর্শ দিয়েছে রোডম্যাপ তৈরির প্রয়োজনীয়তার কথা।",25.0,12.82,22.5
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,"বিএনপি কার্যালয়ে মনোনয়নপত্র সংগ্রহ করতে যাওয়া নেতা-কর্মীদের সাথে পুলিশের সংঘর্ষ শুরু হয়। বিএনপি সমর্থকরা পুলিশের একটি গাড়িতে আগুন দেয় এবং কয়েকটি গাড়ি ভাঙচুর করে। বিএনপি যুগ্ম-মহাসচিব রুহুল কবির রিজভী বলেছেন, এই সহিংসতার ঘটনার সাথে বিএনপি জড়িত নয়, বরং পুলিশের 'এজেন্ট'রা এটি ঘটিয়েছে।",9.68,3.33,9.68
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"বাংলাদেশে আইনশৃঙ্খলা বাহিনীর সঙ্গে বন্দুকযুদ্ধের ঘটনা বেড়েই চলেছে। জানুয়ারি থেকে জুলাই মাস পর্যন্ত বাংলাদেশে কথিত 'বন্দুকযুদ্ধে' ১৭৯ জনের মৃত্যু হয়েছে। এর মধ্যে জুলাই মাসে ৩৬ জনের মৃত্যু হয়েছে। মানবাধিকার সংস্থা আইন ও সালিশ কেন্দ্রের তথ্য অনুযায়ী, জানুয়ারি থেকে জুন মাস পর্যন্ত বাংলাদেশে পুলিশ, র‍্যাব ও বিজিবিসহ আইনশৃঙ্খলা বাহিনীর সঙ্গে 'বন্দুকযুদ্ধে' মোট ১৪৩ জনের মৃত্যু হয়েছে। আরেকটি মানবাধিকার সংস্থা অধিকারের তথ্য অনুযায়ী, জানুয়ারি থেকে জুন পর্যন্ত ছয়মাসে 'বন্দুকযুদ্ধে' নিহত হয়েছেন মোট ১৪৬ জন। বিবিসি বাংলার পর্যালোচনায় দেখা গেছে, জুলাই মাসে যারা কথিত 'বন্দুকযুদ্ধে' নিহত হয়েছেন, তাদের বিরুদ্ধে ডাকাতি, ধর্ষণ, মাদক ব্যবসার সঙ্গে জড়িত থাকার অভিযোগ ও মামলা রয়েছে। সবচেয়ে বেশি কথিত 'বন্দুকযুদ্ধের' ঘটনা ঘটেছে কক্সবাজারে। গত একমাসে এই জেলায় পুলিশ, র‍্যাব ও বিজিবির সঙ্গে বন্দুকযুদ্ধে নিহত হয়েছে অন্তত ১৭ জন।",17.57,5.48,10.81
