id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","জাতিসংঘের জাতিগত বৈষম্য বিষয়ক কমিটির সদস্য গে ম্যাকডুগাল অভিযোগ করেছেন যে চীনা কর্তৃপক্ষ স্বায়ত্তশাসিত উইগুর প্রদেশকে কার্যত ""বিশাল একটি বন্দীশিবিরে"" রূপান্তরিত করেছে। চীন এই অভিযোগ অস্বীকার করে বলেছে, এ ধরনের কোনো বন্দী শিবিরের অস্তিত্ব নেই এবং সোমবার জবাব দেওয়া হবে। আন্তর্জাতিক মানবাধিকার সংস্থাগুলোর রিপোর্টে দাবি করা হয়েছে, উইগুর মুসলিমদের গণহারে আটক করে জোর করে চীনা নেতা ও কমিউনিস্ট পার্টির প্রতি আনুগত্য প্রকাশে বাধ্য করা হচ্ছে।",19.15,0.0,12.77
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,"তামিলনাডু রাজ্যে বুধবার থেকে কোকা-কোলা ও পেপসি নিষিদ্ধ করা হয়েছে, যা স্থানীয় পণ্যের ব্যবহার বাড়াতে এবং কোমল পানীয়ের পানি ব্যবহারজনিত কৃষকের সমস্যা দূর করতে ব্যবসায়ী সংগঠনগুলোর প্রস্তাবের ভিত্তিতে গৃহীত হয়েছে। রাজ্যের শীর্ষ দুটি ব্যবসায়ী এসোসিয়েশন এই নিষেধাজ্ঞার পক্ষে প্রচারণা চালিয়েছে, যা সম্প্রতি 'জাল্লিকাটু' ষাঁড়ের লড়াই নিষিদ্ধের বিরুদ্ধে বিক্ষোভের প্রেক্ষাপটে আরও জোরালো হয়েছে। প্রতিষ্ঠানগুলো স্বাস্থ্যঝুঁকির কথা উল্লেখ করে ভারতীয় কোমল পানীয় ও ফলের জুসের প্রচার বাড়ানোর পরিকল্পনা করছে।",12.2,7.5,12.2
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","ডেঙ্গু পরিস্থিতি মোকাবিলায় রাজধানীর সরকারি-বেসরকারি হাসপাতালগুলো সঙ্কটে রয়েছে, যেখানে রোগী ধারণক্ষমতা পূর্ণ হয়ে যাওয়ায় অনেক হাসপাতাল নতুন রোগী ভর্তি বন্ধ করে দিয়েছে। স্বাস্থ্য অধিদপ্তরের মহাপরিচালক আবুল কালাম আজাদ জানিয়েছেন, পরিস্থিতি বেসামাল না হলেও অপ্রয়োজনীয় ভর্তি ও ডাক্তারদের মানসিক চাপ সমস্যা বাড়াচ্ছে। এই অবস্থায় স্বাস্থ্য অধিদপ্তর বেসরকারি হাসপাতাল ও ক্লিনিকের পরীক্ষার মূল্য নির্ধারণ এবং অন্যান্য পদক্ষেপ নিতে বৈঠক করছে।",12.99,5.33,7.79
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,"ডোনাল্ড ট্রাম্প অভিযোগ করেছেন টুইটার ২০২০ সালের মার্কিন নির্বাচনে হস্তক্ষেপ করছে, তবে তিনি কোনো প্রমাণ দেননি। টুইটার তার ডাকযোগে ব্যালট নিয়ে ভিত্তিহীন দাবির পোস্টে সতর্কবার্তা যুক্ত করে। ট্রাম্প পাল্টা টুইট করে বলেন, টুইটার বাকস্বাধীনতা দমন করছে।",14.04,0.0,10.53
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","বাংলাদেশের উত্তরাঞ্চলে বন্যা ভয়াবহ রূপ ধারণ করেছে, বিশেষ করে কুড়িগ্রামের চিলমারী উপজেলা শতভাগ প্লাবিত হয়েছে এবং সেখানে কোমর সমান পানিতে মানুষ নৌকায় করে আশ্রয়কেন্দ্রে যাচ্ছে। বন্যা পূর্বাভাস ও সতর্কীকরণ কেন্দ্র জানিয়েছে, আগামী ২৪ ঘণ্টার মধ্যে ফরিদপুর, মানিকগঞ্জ, মুন্সিগঞ্জ ও রাজবাড়ী জেলা প্লাবিত হওয়ার আশঙ্কা রয়েছে, যার মধ্যে ফরিদপুর সবচেয়ে বেশি ক্ষতিগ্রস্ত হতে পারে। ফরিদপুরের জেলা প্রশাসন ইতিমধ্যে আশ্রয়কেন্দ্রসহ দুর্যোগকালীন প্রস্তুতি সম্পন্ন করেছে।",29.55,11.63,27.27
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","ছত্তিশগড়ে মাওবাদী হামলায় ২৫ সিআরপিএফ জওয়ান নিহত হওয়ার পর কেন্দ্রীয় স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং মাওবাদী-প্রভাবিত রাজ্যগুলোর মুখ্যমন্ত্রী ও পুলিশ প্রধানদের সঙ্গে বৈঠক করে স্পষ্ট জানান, দমনকৌশলে কোনো পরিবর্তন নেই এবং শান্তি আলোচনার কোনো সম্ভাবনা নেই; বরং স্বল্প, মাঝারি ও দীর্ঘমেয়াদী নানা হাতিয়ার ব্যবহার করে এগোতে হবে। তিনি 'সমাধান' শব্দের বর্ণগুলো ব্যবহার করে স্মার্ট লিডারশিপ, অ্যাগ্রেসিভ স্ট্র্যাটেজি ও মোটিভেশনকে এই সমস্যার জবাব হিসেবে দাবি করেন। তবে বিশেষজ্ঞ অধ্যাপক সমীর কুমার দাস মনে করেন, সামরিক পথই একমাত্র পথ নয়; মাওবাদী সমস্যা মূলত অনুন্নয়ন ও অপশাসনের (গভর্ন্যান্স ডেফিসিট) ফল।",15.0,3.39,11.67
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"বিএনপি নেতারা খালেদা জিয়ার মুক্তির দাবিতে নিয়মিত বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি ও গণতন্ত্রের অবস্থা সম্পর্কে অবহিত করছেন। তাদের লক্ষ্য আন্তর্জাতিক সম্প্রদায়ের কাছে সরকারের রাষ্ট্রযন্ত্র ব্যবহারের তথ্য তুলে ধরা এবং আগামী নির্বাচনের আগে সরকারের উপর চাপ সৃষ্টি করা। বিশ্লেষকদের মতে, বিএনপি আশা করছে বিদেশিরা সরকারকে অংশগ্রহণমূলক ও অবাধ নির্বাচনের জন্য পরামর্শ দেবে।",25.32,18.18,25.32
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।",বাংলাদেশে করোনাভাইরাস সংক্রমণের হার ও মৃত্যুর সংখ্যা কমলেও শীতকালে দ্বিতীয় ঢেউ আসার আশঙ্কা প্রকাশ করেছেন প্রধানমন্ত্রী শেখ হাসিনা। এই পরিস্থিতিতে জাতীয় কারিগরি পরামর্শক কমিটি সংক্রমণ মোকাবিলায় একটি রোডম্যাপ তৈরির প্রয়োজনীয়তার কথা জানিয়েছে। স্বাস্থ্য মন্ত্রণালয় কমিটির সুপারিশ নিয়ে আজ একটি জরুরি বৈঠক করবে।,31.58,10.81,23.68
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,পল্টনে বিএনপি কার্যালয়ের সামনে মনোনয়নপত্র সংগ্রহ করতে যাওয়া নেতা-কর্মীদের সাথে পুলিশের বাকবিতণ্ডা সংঘর্ষে রূপ নেয়। এসময় বিএনপি সমর্থকরা পুলিশের একটি গাড়িতে আগুন দেয় এবং রাস্তার পাশের কয়েকটি গাড়ি ভাঙচুর করে। বিএনপির যুগ্ম-মহাসচিব রুহুল কবির রিজভী এ ঘটনাকে পরিকল্পিত বলে অভিযোগ করলেও পুলিশ দাবি করে বিনা উস্কানিতে তাদের ওপর হামলা হয়েছে।,11.59,5.97,11.59
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"বাংলাদেশে আইনশৃঙ্খলা বাহিনীর সঙ্গে কথিত 'বন্দুকযুদ্ধে' ২০২০ সালের জানুয়ারি থেকে জুলাই পর্যন্ত মোট ১৭৯ জন নিহত হয়েছে, যা মানবাধিকার সংস্থাগুলোর তথ্যে উঠে এসেছে। জুলাই মাসে নিহতদের বিরুদ্ধে ডাকাতি, ধর্ষণ ও মাদক ব্যবসার অভিযোগ থাকলেও, আইন ও সালিশ কেন্দ্রের মতে কোভিড-১৯ পরিস্থিতিতে ভার্চুয়াল আদালতে সাধারণ মানুষ বিচার থেকে বঞ্চিত হওয়ার সুযোগ নেওয়া হচ্ছে কিনা তা নিশ্চিত নয়। সবচেয়ে বেশি বন্দুকযুদ্ধের ঘটনা ঘটেছে কক্সবাজারে, যেখানে এক মাসে অন্তত ১৭ জন নিহত হয়েছে।",16.33,4.17,12.24
