id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","জাতিসংঘের একটি কমিটির সদস্য চীন কর্তৃক উইগুর মুসলিমদের বিশাল বন্দীশিবিরে আটকে রাখার অভিযোগ তুলেছেন। আন্তর্জাতিক মানবাধিকার সংস্থাগুলোর দাবি, এসব শিবিরে উইগুরদের জোরপূর্বক চীনা সরকারের প্রতি আনুগত্য প্রকাশে বাধ্য করা হচ্ছে। তবে চীন বরাবরই এ ধরনের বন্দীশিবিরের অস্তিত্বের কথা অস্বীকার করে আসছে।",22.86,0.00,8.57
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,স্থানীয় পণ্যের ব্যবহার বৃদ্ধি এবং কৃষিকাজে পানির সংকট নিরসনের লক্ষ্যে তামিলনাড়ুর ব্যবসায়ীরা কোকা-কোলা ও পেপসি নিষিদ্ধ করার সিদ্ধান্ত নিয়েছেন। স্বাস্থ্যঝুঁকি ও বিদেশি পণ্যের আধিপত্যের প্রতিবাদে রাজ্যের প্রায় দশ লাখ দোকানদার এই নিষেধাজ্ঞা কার্যকর করছেন। এই উদ্যোগের সফলতার পর ভারতের অন্যান্য অঞ্চলেও একই ধরনের নিষেধাজ্ঞা আরোপের দাবি উঠেছে।,22.58,10.00,19.35
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","ডেঙ্গুর প্রকোপ বাড়ায় রাজধানীর সরকারি-বেসরকারি হাসপাতালগুলোতে রোগীর প্রচণ্ড চাপ তৈরি হয়েছে, যার ফলে অনেক হাসপাতাল নতুন রোগী ভর্তি নিতে হিমশিম খাচ্ছে। স্বাস্থ্য অধিদপ্তরের মহাপরিচালক জানিয়েছেন যে, অহেতুক আতঙ্কিত হয়ে অনেকেই হাসপাতালে ভিড় করছেন, যা পরিস্থিতিকে আরও জটিল করে তুলছে। এই সংকট মোকাবিলায় স্বাস্থ্য অধিদপ্তর বেসরকারি হাসপাতালের সাথে বৈঠক করে ডেঙ্গু পরীক্ষার মূল্য নির্ধারণসহ প্রয়োজনীয় পদক্ষেপ গ্রহণ করছে।",13.16,5.41,7.89
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,ডাকযোগে ভোট নিয়ে ভিত্তিহীন অভিযোগ তোলায় টুইটার প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের একটি পোস্টে সতর্কবার্তা যুক্ত করেছে। এর প্রতিক্রিয়ায় ট্রাম্প টুইটারের বিরুদ্ধে বাকস্বাধীনতা হরণের অভিযোগ তুলেছেন। বিভ্রান্তিমূলক তথ্য রোধে টুইটারের নতুন নীতিমালার আওতায় এই প্রথমবার ট্রাম্পের কোনো পোস্টে এমন পদক্ষেপ নেওয়া হলো।,19.67,6.78,16.39
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","দেশের উত্তরাঞ্চলে বন্যার প্রকোপ ভয়াবহ আকার ধারণ করেছে এবং কুড়িগ্রামের চিলমারী উপজেলার প্রায় শতভাগ এলাকা প্লাবিত হয়েছে। উজান থেকে নেমে আসা পানির কারণে আগামী ২৪ ঘণ্টার মধ্যে মধ্যাঞ্চলের ফরিদপুর, মানিকগঞ্জ, মুন্সিগঞ্জ ও রাজবাড়ী জেলায় বন্যা ছড়িয়ে পড়ার পূর্বাভাস দিয়েছে কর্তৃপক্ষ। পরিস্থিতি মোকাবিলায় স্থানীয় প্রশাসন আশ্রয়কেন্দ্র প্রস্তুতসহ প্রয়োজনীয় দুর্যোগকালীন প্রস্তুতি গ্রহণ করেছে।",20.78,2.67,10.39
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","ছত্তিশগড়ে সিআরপিএফ জওয়ানদের মৃত্যুর পর মাওবাদী দমনে কেন্দ্রীয় স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং স্পষ্ট জানিয়েছেন যে, এই সমস্যার কোনো সহজ বা দ্রুত সমাধান নেই। তিনি মাওবাদীদের মোকাবিলায় সামরিক কৌশলের পাশাপাশি দীর্ঘমেয়াদী বহুমুখী পদক্ষেপ গ্রহণের ওপর জোর দিয়েছেন। তবে বিশেষজ্ঞরা মনে করছেন, কেবল সামরিক শক্তি নয়, বরং অনুন্নয়ন ও সুশাসনের অভাব দূর করাই মাওবাদী সমস্যা সমাধানের মূল চাবিকাঠি।",22.47,4.60,17.98
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"খালেদা জিয়ার মুক্তি ও দেশের রাজনৈতিক পরিস্থিতি নিয়ে বিএনপি নিয়মিতভাবে বিভিন্ন দেশের কূটনীতিকদের সাথে বৈঠক করছে। আন্তর্জাতিক সম্প্রদায়কে দেশের গণতন্ত্র ও নির্বাচনকালীন পরিস্থিতি সম্পর্কে অবহিত করাই এই আলোচনার মূল উদ্দেশ্য। বিশ্লেষকদের মতে, এর মাধ্যমে বিএনপি মূলত আসন্ন নির্বাচনের আগে সরকারের ওপর আন্তর্জাতিক চাপ সৃষ্টির প্রত্যাশা করছে।",20.00,11.76,17.14
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।",বাংলাদেশে গত তিন সপ্তাহে করোনা শনাক্ত ও মৃত্যুর হার কমলেও শীতকালে সংক্রমণের দ্বিতীয় ঢেউ আসার আশঙ্কা দেখা দিয়েছে। এই পরিস্থিতি মোকাবিলায় জাতীয় কারিগরি পরামর্শক কমিটি একটি কার্যকর রোডম্যাপ তৈরির সুপারিশ করেছে। এ বিষয়ে পরবর্তী পদক্ষেপ গ্রহণের জন্য আজ স্বাস্থ্য মন্ত্রণালয় জরুরি বৈঠকে বসছে।,23.38,5.33,15.58
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,"পল্টনে বিএনপির মনোনয়নপত্র সংগ্রহকে কেন্দ্র করে দলটির নেতাকর্মী ও পুলিশের মধ্যে ব্যাপক সংঘর্ষ, ধাওয়া-পাল্টা ধাওয়া এবং পুলিশের গাড়িতে অগ্নিসংযোগের ঘটনা ঘটেছে। পুলিশ বিনা উস্কানিতে হামলার অভিযোগ তুললেও, বিএনপি এই সহিংসতাকে সরকারের পরিকল্পিত 'ফাঁদ' বলে দাবি করেছে। বর্তমানে পরিস্থিতি নিয়ন্ত্রণে পুলিশ এলাকাটি ঘিরে রেখেছে এবং বিএনপি নেতাকর্মীদের শান্তিপূর্ণভাবে নির্বাচনী কার্যক্রম চালিয়ে যাওয়ার আহ্বান জানানো হয়েছে।",22.22,5.71,16.67
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"বাংলাদেশে আইনশৃঙ্খলা বাহিনীর সঙ্গে কথিত 'বন্দুকযুদ্ধে' নিহতের ঘটনা উদ্বেগজনক হারে বৃদ্ধি পেয়েছে, যেখানে চলতি বছরের জুলাই মাস পর্যন্ত অন্তত ১৭৯ জন প্রাণ হারিয়েছেন। মানবাধিকার সংস্থাগুলোর তথ্যমতে, বিচারিক প্রক্রিয়ায় সীমাবদ্ধতার সুযোগ নিয়ে এসব ঘটনা ঘটছে কি না, তা নিয়ে প্রশ্ন উঠেছে। নিহতদের অধিকাংশের বিরুদ্ধেই মাদক, ডাকাতি ও হত্যার মতো গুরুতর অপরাধের অভিযোগ রয়েছে বলে জানা গেছে।",21.95,0.00,12.20
140427_pg_bd_heat_dhaka_ac,গত বেশ কিছুদিন বাংলাদেশের রাজধানী ঢাকায় বাসিন্দাদের আলোচনার প্রধান বিষয় দু:সহ গরম।,চলতি মৌসুমে ঢাকায় গত ৫০ বছরের রেকর্ড ভেঙে তীব্র দাবদাহ চলায় শীতাতপ নিয়ন্ত্রণ যন্ত্রের (এসি) চাহিদা অস্বাভাবিক হারে বেড়েছে। বাজারে এসির তীব্র সংকট ও দাম বৃদ্ধির পাশাপাশি দক্ষ মিস্ত্রির অভাবে তা ইনস্টল করাও কঠিন হয়ে পড়েছে। এছাড়া এসির অতিরিক্ত ব্যবহারের ফলে বিদ্যুতের চাহিদা বেড়ে যাওয়ায় লোডশেডিংয়ের ভোগান্তিও চরমে পৌঁছেছে।,3.23,0.00,3.23
news-56880849,"বাংলাদেশে স্বাস্থ্য অধিদপ্তরের তথ্যে দেখা গেছে, গত সপ্তাহে যেখানে নমুনা পরীক্ষার বিচারে কোভিড-১৯ রোগী শনাক্তের হার ছিল ২৩ শতাংশ, কয়েকদিনের ব্যবধানে সেটি এখন ১৩ শতাংশে নেমে এসেছে।",দেশে চলমান লকডাউনের ফলে করোনাভাইরাস সংক্রমণ ও মৃত্যুর হার কিছুটা কমেছে বলে বিশেষজ্ঞরা মনে করছেন। তবে জীবন-জীবিকার প্রয়োজনে সরকার দোকানপাট ও শপিংমল খুলে দেওয়ায় সংক্রমণের ঝুঁকি নতুন করে বাড়ার আশঙ্কা দেখা দিয়েছে। জনসমাগম নিয়ন্ত্রণের মাধ্যমেই কেবল ভাইরাসের বিস্তার রোধ করা সম্ভব বলে স্বাস্থ্য বিশেষজ্ঞরা সতর্ক করেছেন।,8.00,0.00,2.67
news-42949518,ভারতে মুঘল আমলে নির্মিত আইকনিক স্থাপত্য তাজমহলের প্রাঙ্গণে সে রাজ্যের সরকার 'রামলীলা' অনুষ্ঠান আয়োজনের সিদ্ধান্ত নেওয়ার পর তা নিয়ে বিতর্ক চরমে উঠেছে।,"উত্তরপ্রদেশ সরকার আগ্রার ঐতিহ্যবাহী 'তাজ মহোৎসব'-এর উদ্বোধনী আয়োজনে মুঘল সংস্কৃতির পরিবর্তে রামলীলা ও রাম-বন্দনাকে মূল থিম হিসেবে বেছে নিয়েছে। সরকারের এই সিদ্ধান্তের ফলে রাজনৈতিক মহলে বিতর্ক তৈরি হয়েছে, যেখানে বিজেপি একে স্বাভাবিক প্রক্রিয়া হিসেবে দেখলেও বিরোধীরা একে ঐতিহ্যের বিকৃতি বলে সমালোচনা করছে। ঐতিহাসিকদের মতে, তাজমহলের নিজস্ব সাংস্কৃতিক গুরুত্ব অপরিসীম এবং এই ধরনের পরিবর্তন তার মূল পরিচয়কে মুছে ফেলতে পারবে না।",11.90,0.00,7.14
news-56080104,বাংলাদেশের সেনাপ্রধান ও তার ভাইদের নানা কর্মকাণ্ড ও দুর্নীতির অভিযোগ নিয়ে কাতার-ভিত্তিক টেলিভিশন চ্যানেল আল জাজিরার করা একটি অনুসন্ধানী প্রতিবেদন 'অসৎ উদ্দেশ্য' নিয়ে করা হয়েছে বলে দাবি করছেন জেনারেল আজিজ আহমেদ।,"আল-জাজিরার প্রতিবেদনে নিজের ও পরিবারের বিরুদ্ধে আনা অভিযোগকে অসৎ উদ্দেশ্যপ্রণোদিত বলে মন্তব্য করেছেন সেনাবাহিনী প্রধান জেনারেল আজিজ আহমেদ। তিনি দাবি করেন, তার ভাইদের বিরুদ্ধে কোনো মামলা বা সাজা না থাকা সত্ত্বেও তাদের নিয়ে বিভ্রান্তি ছড়ানো হচ্ছে এবং এর মাধ্যমে মূলত প্রধানমন্ত্রীকে হেয় করার চেষ্টা করা হয়েছে। ব্যক্তিগত সফরে কোনো প্রোটোকল ব্যবহার না করার সুযোগ নিয়ে কেউ অপপ্রচার চালাচ্ছে বলেও তিনি উল্লেখ করেন।",25.26,8.60,14.74
news-54239981,বাংলাদেশে শীতের সময় করোনাভাইরাস সংক্রমণের প্রকোপ আরও বাড়তে পারে বা দ্বিতীয় ঢেউ আসতে পারে- এমন আশংকা থেকে সরকার ভাইরাসটি প্রতিরোধ এবং চিকিৎসার ব্যাপারে একটি রোডম্যাপ তৈরি করেছে।,"শীতকালে কোভিড-১৯ সংক্রমণ বৃদ্ধির আশঙ্কায় স্বাস্থ্য মন্ত্রণালয় ঠাণ্ডাজনিত রোগ ও করোনা চিকিৎসার জন্য পৃথক ও সুনির্দিষ্ট কর্মপরিকল্পনা গ্রহণ করেছে। এর অংশ হিসেবে প্রয়োজনীয় ঔষধ ও ভ্যাকসিনের মজুদ নিশ্চিত করার পাশাপাশি কোভিড ডেডিকেটেড হাসপাতালগুলোকে পুনরায় প্রস্তুত রাখা হচ্ছে। এছাড়া, স্বাস্থ্যবিধি মানাতে কঠোর আইন প্রয়োগের ওপর জোর দেওয়া হয়েছে।",5.33,0.00,5.33
news-49144997,টেলিভিশনে পাকিস্তানের শীর্ষস্থানীয় বিরোধী রাজনীতিবিদ আসিফ আলী জারদারির সাক্ষাৎকার নিচ্ছিলেন সুপরিচিত একজন সাংবাদিক হামিদ মীর। সাক্ষাৎকারটির সম্প্রচার শুরু হওয়ার কয়েক মিনিটের মধ্যেই এর সম্প্রচার বন্ধ হয়ে যায়।,"পাকিস্তানে বিরোধী নেতাদের সাক্ষাৎকার মাঝপথে বন্ধ করে দেওয়ার ঘটনা দেশটির সংবাদমাধ্যমের স্বাধীনতার ওপর কঠোর সেন্সরশিপের স্পষ্ট প্রমাণ বহন করছে। সরকার ও সেনাবাহিনী এসব অভিযোগ অস্বীকার করলেও, আন্তর্জাতিক বিভিন্ন সূচকে পাকিস্তানের নিম্ন অবস্থান এবং সাংবাদিকদের প্রতিবাদ পরিস্থিতিকে উদ্বেগজনক করে তুলেছে। সংবাদমাধ্যমের ওপর এই নিয়ন্ত্রণ দেশটির ভাবমূর্তি ক্ষুণ্ণ করার পাশাপাশি পশ্চিমা দেশগুলোর সাথে তাদের কূটনৈতিক সম্পর্ককেও ক্ষতিগ্রস্ত করছে।",9.64,0.00,7.23
