Language,Model,Count,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,chrF,BERTScore-R,Factuality (Precision),Coverage (Recall),BanglaSummEval F1
English,GPT 5.6 Luna,1012,24.12,5.87,15.96,2.06,31.51,89.02,-,-,-
English,Gemini 3.1 Flash Lite,1011,22.94,5.89,15.32,2.14,30.39,89.25,-,-,-
English,Gemini 2.5 Flash,1012,22.13,5.43,14.72,1.90,29.62,88.90,-,-,-
English,Qwen 3.5 Flash,1012,21.99,4.93,14.48,1.66,29.46,88.77,-,-,-
English,DeepSeek V4 Flash,1012,21.43,5.28,14.12,1.82,29.34,88.83,-,-,-
English,Qwen 3.6 27B,1012,21.31,4.81,13.89,1.44,27.17,88.81,-,-,-
English,GPT 4o Mini,1012,21.16,5.03,13.95,1.70,28.78,88.73,-,-,-
English,LLaMA 3.3 70B (Groq),1012,20.38,5.71,14.00,1.94,28.72,88.87,-,-,-
Bengali,LLaMA 3.3 70B (Groq),1012,16.23,5.29,12.44,1.90,33.30,87.94,65.78,57.50,58.28
Bengali,GPT 4o Mini,1012,15.63,4.53,11.83,1.74,33.74,87.80,63.38,55.33,56.73
Bengali,Gemini 2.5 Flash,1012,15.05,4.32,11.27,1.64,33.11,87.93,61.65,60.83,58.43
Bengali,DeepSeek V4 Flash,1012,15.00,4.19,11.22,1.62,33.39,87.86,64.14,56.17,57.34
Bengali,Qwen 3.5 Flash,1012,14.74,4.09,11.16,1.56,33.50,87.72,61.48,57.17,56.15
Bengali,Gemini 3.1 Flash Lite,1012,14.04,3.88,10.93,1.42,32.15,87.88,52.83,52.50,49.73
Bengali,GPT 5.6 Luna,1012,14.01,3.71,10.65,1.27,32.53,87.57,58.87,56.17,54.84
Bengali,Qwen 3.6 27B,1012,13.50,3.57,10.11,0.98,28.38,87.44,60.49,59.00,56.41
