id,precision,recall,summeval_f1
uk-england-cambridgeshire-13640487,75.0,83.33333333333334,78.94736842105264
uk-politics-30142579,55.55555555555556,66.66666666666666,60.60606060606061
business-47891982,66.66666666666666,66.66666666666666,66.66666666666666
uk-scotland-north-east-orkney-shetland-55564441,60.0,50.0,54.54545454545455
uk-wales-politics-48586353,54.54545454545454,50.0,52.173913043478265
uk-england-south-yorkshire-55768636,64.28571428571429,33.33333333333333,43.90243902439024
uk-england-norfolk-40306087,46.666666666666664,33.33333333333333,38.88888888888888
science-environment-44141840,50.0,33.33333333333333,40.0
world-us-canada-38697908,56.25,50.0,52.94117647058823
world-europe-53801230,44.44444444444444,83.33333333333334,57.971014492753625
business-38842721,57.14285714285714,50.0,53.33333333333333
uk-politics-36836980,77.77777777777779,0.0,0.0
entertainment-arts-26706229,46.666666666666664,100.0,63.63636363636363
education-56213402,53.333333333333336,33.33333333333333,41.02564102564103
uk-politics-12657524,38.46153846153847,0.0,0.0
business-22689987,100.0,50.0,66.66666666666667
technology-54360612,66.66666666666666,50.0,57.14285714285714
technology-19700791,46.666666666666664,83.33333333333334,59.82905982905983
business-40666236,50.0,66.66666666666666,57.14285714285714
business-42226808,61.53846153846154,83.33333333333334,70.79646017699115
uk-scotland-scotland-politics-41036484,66.66666666666666,66.66666666666666,66.66666666666666
technology-51510196,61.53846153846154,66.66666666666666,64.0
uk-england-birmingham-47374127,55.55555555555556,33.33333333333333,41.666666666666664
uk-politics-20775071,50.0,83.33333333333334,62.5
world-latin-america-47658080,70.0,83.33333333333334,76.08695652173914
uk-england-leeds-54470312,62.5,50.0,55.55555555555556
uk-wales-33793177,90.9090909090909,83.33333333333334,86.95652173913044
world-asia-31001251,42.10526315789473,66.66666666666666,51.61290322580644
world-middle-east-18571193,72.22222222222221,16.666666666666664,27.08333333333333
uk-england-hereford-worcester-51539199,62.5,83.33333333333334,71.42857142857143
world-europe-isle-of-man-56422262,41.66666666666667,33.33333333333333,37.03703703703704
technology-30795245,70.0,100.0,82.3529411764706
newsbeat-11997559,36.36363636363637,33.33333333333333,34.78260869565217
uk-england-oxfordshire-20503005,62.5,50.0,55.55555555555556
business-31949307,60.0,66.66666666666666,63.1578947368421
world-africa-39842686,54.54545454545454,50.0,52.173913043478265
uk-england-london-46741638,44.44444444444444,66.66666666666666,53.33333333333333
uk-england-tees-17350377,50.0,66.66666666666666,57.14285714285714
entertainment-arts-11956797,68.75,50.0,57.89473684210526
uk-england-wiltshire-54161565,61.53846153846154,83.33333333333334,70.79646017699115
10157432,60.0,83.33333333333334,69.76744186046513
world-europe-43649668,57.14285714285714,83.33333333333334,67.79661016949153
world-middle-east-24834204,50.0,83.33333333333334,62.5
uk-scotland-scotland-politics-40855469,60.0,66.66666666666666,63.1578947368421
uk-20509003,64.28571428571429,66.66666666666666,65.45454545454544
uk-wales-south-west-wales-25024708,75.0,50.0,60.0
uk-england-leicestershire-51356195,63.63636363636363,66.66666666666666,65.11627906976744
uk-26341122,75.0,83.33333333333334,78.94736842105264
uk-scotland-scotland-politics-46541974,66.66666666666666,33.33333333333333,44.44444444444444
business-18074966,53.84615384615385,66.66666666666666,59.57446808510638
entertainment-arts-49419053,77.77777777777779,33.33333333333333,46.666666666666664
uk-northern-ireland-40941393,78.57142857142857,33.33333333333333,46.80851063829787
entertainment-arts-44964740,72.72727272727273,33.33333333333333,45.71428571428571
newsbeat-42729308,45.45454545454545,50.0,47.61904761904761
science-environment-48786295,50.0,83.33333333333334,62.5
technology-30819036,50.0,66.66666666666666,57.14285714285714
blogs-news-from-elsewhere-51090657,54.54545454545454,33.33333333333333,41.37931034482758
world-latin-america-50664018,46.666666666666664,0.0,0.0
uk-scotland-south-scotland-42521987,75.0,50.0,60.0
business-35240093,80.0,66.66666666666666,72.72727272727272
uk-england-stoke-staffordshire-25680638,60.0,33.33333333333333,42.857142857142854
world-latin-america-34504269,52.94117647058824,16.666666666666664,25.352112676056336
uk-england-suffolk-46071589,57.14285714285714,66.66666666666666,61.53846153846153
uk-england-bristol-44226204,46.666666666666664,83.33333333333334,59.82905982905983
uk-20947917,62.5,66.66666666666666,64.51612903225806
business-45506500,53.84615384615385,83.33333333333334,65.42056074766356
uk-northern-ireland-11997538,54.54545454545454,66.66666666666666,60.0
uk-scotland-north-east-orkney-shetland-39254354,50.0,16.666666666666664,25.0
47967764,66.66666666666666,50.0,57.14285714285714
blogs-news-from-elsewhere-34313610,50.0,33.33333333333333,40.0
business-39841164,69.23076923076923,66.66666666666666,67.92452830188678
world-europe-38005202,42.857142857142854,66.66666666666666,52.17391304347825
world-us-canada-56273381,35.714285714285715,50.0,41.666666666666664
uk-wales-south-east-wales-11521339,63.63636363636363,16.666666666666664,26.41509433962264
world-latin-america-24014501,50.0,33.33333333333333,40.0
uk-wales-north-east-wales-36173481,45.45454545454545,50.0,47.61904761904761
world-latin-america-33449810,60.0,50.0,54.54545454545455
world-europe-23003013,66.66666666666666,50.0,57.14285714285714
uk-politics-35107203,50.0,0.0,0.0
uk-36492850,75.0,66.66666666666666,70.58823529411764
uk-politics-27023540,70.0,33.33333333333333,45.16129032258064
world-europe-25465092,46.15384615384615,50.0,47.99999999999999
newsbeat-10002718,50.0,83.33333333333334,62.5
world-us-canada-56726028,64.28571428571429,50.0,56.25000000000001
world-asia-china-17503171,53.84615384615385,16.666666666666664,25.454545454545453
uk-northern-ireland-37680586,72.72727272727273,66.66666666666666,69.56521739130434
uk-wales-politics-21794724,72.72727272727273,66.66666666666666,69.56521739130434
uk-wales-52063785,87.5,50.0,63.63636363636363
entertainment-arts-35042217,77.77777777777779,16.666666666666664,27.450980392156858
newsbeat-10000840,50.0,33.33333333333333,40.0
uk-24611407,66.66666666666666,16.666666666666664,26.666666666666668
uk-england-leicestershire-57039871,76.92307692307693,50.0,60.60606060606061
uk-wales-politics-46180033,70.58823529411765,66.66666666666666,68.57142857142857
uk-england-york-north-yorkshire-44287634,46.15384615384615,50.0,47.99999999999999
business-41231763,63.63636363636363,66.66666666666666,65.11627906976744
uk-england-leeds-51136569,73.33333333333333,33.33333333333333,45.83333333333333
business-38878091,55.55555555555556,50.0,52.63157894736842
business-44725606,46.666666666666664,0.0,0.0
world-asia-pacific-15169007,50.0,33.33333333333333,40.0
uk-51470342,54.54545454545454,50.0,52.173913043478265
