id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","জাতিসংঘের জাতিগত বৈষম্য বিষয়ক কমিটির সদস্য গে ম্যাকডুগাল অভিযোগ করেছেন যে চীনের শিনজিয়াং প্রদেশকে কার্যত একটি বিশাল বন্দীশিবিরে রূপান্তরিত করা হয়েছে। মানবাধিকার সংস্থাগুলো দাবি করছে যে উইগুর মুসলিমদের গণহারে আটক করে শিবিরে রাখা হচ্ছে এবং সেখানে তাদের জোর করে চীনা নেতৃত্বের প্রতি আনুগত্য প্রকাশে বাধ্য করা হচ্ছে। চীন এই সব অভিযোগ অস্বীকার করে এবং বলে যে এমন কোনো বন্দীশিবিরের অস্তিত্ব নেই, তবে তারা পরবর্তীতে জবাব দেওয়ার কথা জানিয়েছে।",28.87,0.0,14.43
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,"তামিলনাডুর শীর্ষ দুটি ব্যবসায়ী সংগঠন জল সংরক্ষণ, স্বাস্থ্যঝুঁকি ও স্থানীয় পণ্যের প্রচারের লক্ষ্যে কোকা-কোলা ও পেপসি নিষিদ্ধের প্রস্তাব করেছিল। গত মাসে জাল্লিকাটু নিষিদ্ধের বিরুদ্ধে বিক্ষোভের প্রেক্ষাপটে এই প্রচারণা ত্বরান্বিত হয় এবং বুধবার থেকে রাজ্যে এই দুই কোমল পানীয় নিষিদ্ধ হয়েছে। দশ লাখেরও বেশি দোকানদার নিষেধাজ্ঞা মেনে চলবে বলে আশা করা হচ্ছে, যা কৃষকদের সেচের পানি সংকট কমাতে ও স্বাস্থ্যকর বিকল্পের প্রচারে সহায়ক হবে।",15.38,7.89,15.38
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","রাজধানীর হাসপাতালগুলোতে ডেঙ্গু রোগীর সংখ্যা দ্রুত বৃদ্ধি পাওয়ায় অনেক বেসরকারি হাসপাতাল রোগী ধারণক্ষমতা পূর্ণ হওয়ায় নতুন রোগী ভর্তি বন্ধ করে দিয়েছে। স্বাস্থ্য অধিদপ্তরের মহাপরিচালক জানান, পরিস্থিতি সম্পূর্ণ নিয়ন্ত্রণের বাইরে নয়, তবে আতঙ্কের কারণে অনেকে অপ্রয়োজনীয়ভাবে হাসপাতালে ভর্তি হচ্ছেন এবং ডাক্তারদের উপর মানসিক চাপ সৃষ্টি হয়েছে। পরিস্থিতি সামাল দিতে স্বাস্থ্য অধিদপ্তর শীঘ্রই বেসরকারি হাসপাতাল ও ক্লিনিকের প্রতিনিধিদের সাথে বৈঠক করতে যাচ্ছে, যেখানে ডেঙ্গু পরীক্ষার মূল্য নির্ধারণসহ বিভিন্ন ব্যবস্থা গ্রহণ করা হবে।",13.64,4.65,9.09
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,"ডোনাল্ড ট্রাম্প ২০২০ নির্বাচনে টুইটারের হস্তক্ষেপের অভিযোগ করে ডাকযোগে পাঠানো ব্যালটপত্রে ব্যাপক কারচুপির দাবি উত্থাপন করলে টুইটার সংস্থা তা ভিত্তিহীন বলে সতর্কবার্তা যুক্ত করে। এর জবাবে ট্রাম্প টুইটারকে বাকস্বাধীনতা কণ্ঠরোধকারী বলে আক্রমণ করেন, যা সামাজিক মাধ্যমের নীতিমালা ও রাজনৈতিক বিতর্কের কেন্দ্রে উঠে আসে। টুইটার করোনা মহামারির প্রেক্ষিতে বিভ্রান্তিমূলক তথ্যের বিরুদ্ধে নতুন নীতি চালু করলেও ট্রাম্পের কিছু ষড়যন্ত্র তত্ত্বমূলক টুইটে সতর্কবার্তা প্রদান না করায় সংস্থাটির নীতি প্রয়োগে অসামঞ্জস্যের সমালোচনা উঠেছে।",15.56,2.27,11.11
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","বাংলাদেশে বন্যার প্রকোপ ছড়িয়ে পড়ছে, যার মধ্যে কুড়িগ্রামের চিলমারী উপজেলা শতভাগ প্লাবিত হয়ে সবচেয়ে বেশি ক্ষতিগ্রস্ত হয়েছে। বন্যা পূর্বাভাস ও সতর্কীকরণ কেন্দ্র জানায়, উজান থেকে আসা পানির কারণে আগামী ২৪ ঘণ্টায় ফরিদপুর, মানিকগঞ্জ, মুন্সিগঞ্জ ও রাজবাড়ী জেলা প্লাবিত হবে। এর মধ্যে ফরিদপুর সবচেয়ে ক্ষতিগ্রস্ত হওয়ার আশঙ্কা রয়েছে এবং স্থানীয় প্রশাসন আশ্রয়কেন্দ্রসহ দুর্যোগকালীন প্রস্তুতি সম্পন্ন করেছে।",27.16,12.66,24.69
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","ছত্তিশগড়ের সুকমায় মাওবাদী হামলায় ২৫ সিআরপিএফ জওয়ান নিহত হওয়ার পর কেন্দ্রীয় সরকার মাওবাদী-প্রবণ রাজ্যগুলোর নেতাদের সাথে বৈঠকে শান্তি আলোচনার সম্ভাবনা সম্পূর্ণ নাকচ করে দিয়েছেন। স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানান, এই সমস্যার কোনো দ্রুত বা 'সিলভার বুলেট' সমাধান নেই; বরং স্বল্প, মধ্য ও দীর্ঘমেয়াদী কৌশল ও বিভিন্ন হাতিয়ার ব্যবহার করেই এগোতে হবে। অন্যদিকে বিশেষজ্ঞরা মনে করেন, সামরিক পথ একক সমাধান নয়; বরং অনুন্নয়ন ও গভর্ন্যান্স ডেফিসিট মোকাবিলা করেই মাওবাদী সমস্যার মূল কারণ দূর করা সম্ভব।",20.37,5.66,18.52
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"খালেদা জিয়ার গ্রেফতারের পর থেকে বিএনপি নেতারা নিয়মিত বিদেশী কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি ও গণতন্ত্রের অবস্থা তুলে ধরছেন। দলটির দাবি, এতে আন্তর্জাতিক সম্প্রদায়কে সচেতন করা এবং সরকারের ওপর চাপ সৃষ্টি করা মূল লক্ষ্য। বিশ্লেষকরা মনে করেন, আগামী নির্বাচনে স্বচ্ছ ও অবাধ প্রক্রিয়া নিশ্চিত করতে বিদেশী শক্তির হস্তক্ষেপ আশা করে বিএনপি এই কূটনৈতিক বৈঠকগুলো করছে।",22.22,15.19,22.22
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।","সারসংক্ষেপ: বাংলাদেশে করোনাভাইরাসের দ্বিতীয় ঢেউ আসার আশঙ্কা প্রকাশ পেয়েছে, বিশেষ করে শীতকালে সংক্রমণ বৃদ্ধির সম্ভাবনা রয়েছে। বর্তমানে দৈনিক নতুন শনাক্তের সংখ্যা দুই হাজারের নিচে এবং মৃত্যুর হার কমেছে, তবে জাতীয় কারিগরি পরামর্শক কমিটি সংক্রমণের হার এখনো নিরাপদ সীমায় নেই বলে মনে করছে। প্রধানমন্ত্রীর এই আশঙ্কা প্রকাশের পর স্বাস্থ্য মন্ত্রণালয় জরুরি বৈঠক করবে এবং ভবিষ্যৎ ব্যবস্থাপনার জন্য রোডম্যাপ তৈরির প্রয়োজনীয়তা তুলে ধরা হয়েছে।",25.0,8.51,18.75
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,"পল্টনের বিএনপি কার্যালয়ে মনোনয়নপত্র সংগ্রহের সময় নেতা-কর্মী ও পুলিশের মধ্যে সংঘর্ষের পর বিএনপি সমর্থকরা পুলিশের একটি গাড়িতে আগুন দেয় এবং কয়েকটি গাড়ি ভাঙচুর করে বলে পুলিশের অভিযোগ। বিএনপি যুগ্ম-মহাসচিব রুহুল কবির রিজভী এই সহিংসতাকে পরিকল্পিত বলে দাবি করেন, দলের সাথে এর সম্পৃক্ততা অস্বীকার করেন এবং পুলিশের এজেন্টদের দায়ী করেন। পুলিশের পক্ষ থেকে জানানো হয় যে বিনা উস্কানিতে পুলিশের ওপর আক্রমণ করা হয়েছে এবং হামলাকারীরা কয়েকজন পুলিশ সদস্যকে আটক করে রাখে।",6.74,0.0,6.74
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"মানবাধিকার সংস্থা আইন ও সালিশ কেন্দ্র ও অধিকারের তথ্য অনুযায়ী, বাংলাদেশে আইনশৃঙ্খলা বাহিনীর সাথে কথিত 'বন্দুকযুদ্ধে' গত ছয় মাসে শতাধিক ও জুলাই মাসের প্রথমার্ধে ৩৬ জনের মৃত্যু হয়েছে। নিহতদের বিরুদ্ধে ডাকাতি, ধর্ষণ ও মাদক ব্যবসাসহ বিভিন্ন অপরাধের অভিযোগ রয়েছে এবং কক্সবাজারে এ ধরনের ঘটনার সংখ্যা সবচেয়ে বেশি। কোভিড-১৯ পরিস্থিতিতে ভার্চুয়াল আদালতের কার্যক্রম বিচার প্রক্রিয়ায় বাধা সৃষ্টি করছে বলে মানবাধিকার কর্মীরা সন্দেহ প্রকাশ করেছেন।",15.38,2.25,8.79
