id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","জাতিসংঘের জাতিগত বৈষম্য বিষয়ক কমিটির সদস্য গে ম্যাকডুগাল অভিযোগ করেছেন যে চীন স্বায়ত্তশাসিত উইগুর প্রদেশকে কার্যত ""বিশাল একটি বন্দীশিবিরে"" পরিণত করেছে। বিভিন্ন আন্তর্জাতিক মানবাধিকার সংস্থা ও সূত্র থেকে প্রাপ্ত খবর অনুযায়ী, জিনজিয়াং-এ উইগুর ও অন্যান্য মুসলিমদের গণহারে আটক করে এসব শিবিরে জোরপূর্বক চীনা প্রেসিডেন্ট শি জিনপিংয়ের প্রতি আনুগত্য প্রকাশে বাধ্য করা হচ্ছে। যদিও চীন বরাবরই এমন বন্দীশিবিরের অস্তিত্ব অস্বীকার করে আসছে, তবে জিনজিয়াং প্রদেশের ৪৫% জনসংখ্যা উইগুর মুসলিম এবং সেখানে বিদেশী মিডিয়ার প্রবেশে কঠোর বিধিনিষেধ রয়েছে।",20.75,0.0,11.32
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,আজ বুধবার থেকে তামিলনাডু রাজ্যে কোকা-কোলা ও পেপসি নিষিদ্ধ করা হয়েছে। রাজ্যের শীর্ষ দুটি ব্যবসায়ী সংগঠন স্থানীয় পণ্যের ব্যবহার নিশ্চিত করতে এবং কোমল পানীয় সংস্থাগুলির দ্বারা নদীর অত্যধিক জল ব্যবহারের কারণে কৃষকদের ভোগান্তি কমাতে এই নিষেধাজ্ঞা প্রস্তাব করেছিল। জাল্লিকাটু বিক্ষোভের প্রেক্ষাপটে এই প্রচারণা জোরদার হয় এবং স্বাস্থ্যগত কারণও এর পেছনে কাজ করেছে; দশ লাখেরও বেশি দোকানদার এই নিষেধাজ্ঞা মেনে চলবে বলে আশা করা হচ্ছে।,15.19,7.79,15.19
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","ডেঙ্গুর প্রকোপে রাজধানী ঢাকার সরকারি-বেসরকারি হাসপাতালগুলো রোগী সামলাতে হিমশিম খাচ্ছে এবং অনেক হাসপাতালে ধারণক্ষমতা পূর্ণ হওয়ায় রোগীদের ফিরিয়ে দেওয়া হচ্ছে। স্বাস্থ্য অধিদপ্তরের মহাপরিচালক আবুল কালাম আজাদ জানান, পরিস্থিতি খুব বেসামাল না হলেও ডেঙ্গু নিয়ে আতঙ্কের কারণে অনেকে অপ্রয়োজনে হাসপাতালে ভর্তি হতে চাচ্ছেন, যা ডাক্তারদের উপর চাপ সৃষ্টি করছে। এমন পরিস্থিতিতে স্বাস্থ্য অধিদপ্তর আজ বেসরকারি হাসপাতাল ও ক্লিনিক প্রতিনিধিদের সাথে বৈঠকে বিভিন্ন পরীক্ষা-নিরীক্ষার মূল্য তালিকা পর্যালোচনা করে দাম নির্ধারণ করবে।",13.48,2.3,8.99
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,"ডোনাল্ড ট্রাম্প অভিযোগ করেছেন যে টুইটার আমেরিকার ২০২০ সালের নির্বাচনে হস্তক্ষেপ করছে, কারণ টুইটার ডাকযোগে ব্যালট কারচুপির বিষয়ে তার একটি টুইটকে সতর্কবার্তা দিয়ে চিহ্নিত করেছে। এর প্রতিক্রিয়ায় ট্রাম্প টুইটারকে বাক স্বাধীনতা খর্ব করার অভিযোগ করেছেন, যা তার বিতর্কিত পোস্ট এবং ষড়যন্ত্র তত্ত্ব নিয়ে তাদের দীর্ঘদিনের দ্বন্দ্বকে তুলে ধরে। যদিও টুইটার সম্প্রতি বিভ্রান্তিমূলক তথ্য বিষয়ে নতুন নীতিমালা চালু করেছে, তবে ট্রাম্পের লোরি ক্লাউসুটিসের মৃত্যু নিয়ে একটি ষড়যন্ত্র তত্ত্বের টুইটে তারা কোনো সতর্কবার্তা দেয়নি।",15.05,0.0,10.75
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","সারা দেশে বন্যার প্রকোপ ছড়িয়ে পড়ছে, যার মধ্যে কুড়িগ্রামের চিলমারী উপজেলা শতভাগ প্লাবিত হয়েছে এবং সেখানকার বাসিন্দারা আশ্রয়কেন্দ্রে যেতে বাধ্য হচ্ছেন। বন্যা পূর্বাভাস ও সতর্কীকরণ কেন্দ্র জানিয়েছে, উজান থেকে নেমে আসা পানির কারণে আগামী ২৪ ঘণ্টার মধ্যে মধ্যাঞ্চলের ফরিদপুর, মানিকগঞ্জ, মুন্সিগঞ্জ ও রাজবাড়ী জেলা প্লাবিত হবে। এসব জেলার মধ্যে ফরিদপুরে সবচেয়ে বেশি ক্ষতির আশঙ্কা করা হচ্ছে এবং জেলা প্রশাসন দুর্যোগ মোকাবেলায় আশ্রয়কেন্দ্রসহ প্রয়োজনীয় প্রস্তুতি নিয়েছে।",26.37,8.99,21.98
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","সুকমায় মাওবাদী হামলার পর কেন্দ্রীয় সরকার মাওবাদী প্রভাবিত রাজ্যগুলির মুখ্যমন্ত্রী ও পুলিশ-প্রধানদের সঙ্গে বৈঠকে মাওবাদীদের সঙ্গে শান্তি আলোচনার সম্ভাবনা নাকচ করে দিয়েছে। স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং স্পষ্ট করেন যে মাওবাদী দমনে সরকারি কৌশলে বড় কোনো পরিবর্তন হচ্ছে না এবং এর কোনো ঝটিতি সমাধান নেই, বরং স্বল্প, মাঝারি ও দীর্ঘমেয়াদী কৌশল প্রয়োজন। তবে, অধ্যাপক সমীর কুমার দাস মনে করেন যে মাওবাদী সমস্যা কেবল সামরিক নয়, অনুন্নয়ন ও অপশাসনের ফল।",15.69,4.0,13.73
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"বিএনপি নেতারা খালেদা জিয়ার মুক্তির দাবিতে এবং দেশের রাজনৈতিক পরিস্থিতি জানাতে যুক্তরাষ্ট্র ও ভারতসহ ১৯টি দেশের কূটনীতিকদের সাথে নিয়মিত বৈঠক করছেন। দলের মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরের মতে, এর লক্ষ্য হলো আন্তর্জাতিক সম্প্রদায়কে দেশের গণতন্ত্রের অবস্থা ও সরকারের রাষ্ট্রযন্ত্রের অপব্যবহার সম্পর্কে অবহিত করা। বিশ্লেষকরা মনে করেন, এর মাধ্যমে বিএনপি আগামী নির্বাচনের আগে প্রভাবশালী দেশগুলোর মাধ্যমে সরকারের উপর চাপ সৃষ্টি করে একটি অংশগ্রহণমূলক ও স্বচ্ছ নির্বাচন নিশ্চিত করতে চায়।",19.57,6.67,13.04
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।","বাংলাদেশে গত তিন সপ্তাহ ধরে করোনাভাইরাস শনাক্ত ও মৃত্যুর সংখ্যা কমলেও শীতকালে সংক্রমণের দ্বিতীয় ঢেউ আসার আশঙ্কা করা হচ্ছে। প্রধানমন্ত্রী শেখ হাসিনা শীতকালে সংক্রমণ বাড়ার আশঙ্কা প্রকাশ করেছেন এবং জাতীয় কারিগরি পরামর্শক কমিটি শীতকালীন পরিস্থিতি মোকাবিলায় একটি রোডম্যাপ তৈরির প্রয়োজনীয়তার কথা জানিয়েছে। এসব সুপারিশ নিয়ে স্বাস্থ্য মন্ত্রণালয় একটি জরুরি বৈঠক করবে, তবে কমিটি মনে করে, সংক্রমণের হার নিম্নমুখী হলেও এখনো তা স্বস্তিকর পর্যায়ে যায়নি।",26.53,8.33,20.41
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,"পল্টনে বিএনপি কার্যালয়ের সামনে মনোনয়নপত্র সংগ্রহকে কেন্দ্র করে পুলিশ ও বিএনপি কর্মীদের মধ্যে ধাওয়া-পাল্টা ধাওয়ার পর একটি পুলিশ ভ্যানে আগুন দেওয়া হয় এবং কয়েকটি গাড়ি ভাঙচুর করা হয়। পুলিশের অভিযোগ, বিএনপি সমর্থকরা বিনা উস্কানিতে এই হামলা চালিয়েছে, যার পর পুলিশ জলকামান ও সাঁজোয়া যান নিয়ে এলাকা ঘিরে ফেলে। অন্যদিকে, বিএনপি এই ঘটনাকে পরিকল্পিত আখ্যা দিয়ে জড়িত থাকার অভিযোগ অস্বীকার করেছে এবং বলেছে পুলিশের 'এজেন্টরা' এই সহিংসতা ঘটিয়েছে।",14.12,7.23,11.76
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"এখানে বাংলা সংবাদ নিবন্ধটির একটি নির্ভুল ও সংক্ষিপ্ত সারসংক্ষেপ ৩ বাক্যে দেওয়া হলো:

মানবাধিকার সংস্থাগুলোর তথ্য অনুযায়ী, বাংলাদেশে আইনশৃঙ্খলা বাহিনীর সঙ্গে কথিত বন্দুকযুদ্ধে মৃত্যুর ঘটনা নিয়মিত হয়ে দাঁড়িয়েছে। আইন ও সালিশ কেন্দ্রের তথ্যমতে, চলতি বছরের জানুয়ারি থেকে জুলাই মাস পর্যন্ত পুলিশ, র‍্যাব ও বিজিবিসহ আইনশৃঙ্খলা বাহিনীর সঙ্গে বন্দুকযুদ্ধে মোট ১৭৯ জনের মৃত্যু হয়েছে। মানবাধিকার কর্মীরা কোভিড-১৯ পরিস্থিতিতে বিচারবঞ্চিত হওয়ার সুযোগ নিয়ে উদ্বেগ প্রকাশ করেছেন, যেখানে নিহতদের বিরুদ্ধে সাধারণত ডাকাতি, ধর্ষণ বা মাদক ব্যবসার অভিযোগ থাকে এবং কক্সবাজারে এমন ঘটনা সবচেয়ে বেশি ঘটেছে।",14.41,0.0,9.01
