id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","চীনা কর্তৃপক্ষ উইগুর প্রদেশকে ""বিশাল বন্দীশিবির"" হিসেবে রূপান্তরিত করার অভিযোগ উঠেছে, যেখানে উইগুর মুসলিমদের গণহারে আটক করা হচ্ছে এবং তাদেরকে জোর করে চীনা সরকারের প্রতি আনুগত্য প্রকাশে বাধ্য করা হচ্ছে। আন্তর্জাতিক মানবাধিকার সংস্থাগুলি এই পরিস্থিতির বিরুদ্ধে প্রতিবেদন দিচ্ছে, তবে চীন এ ধরনের বন্দীশিবিরের অস্তিত্ব অস্বীকার করছে।",16.0,0.0,8.0
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,"তামিলনাডু রাজ্যে কোকা-কোলা ও পেপসি নিষিদ্ধ করা হয়েছে, যা স্থানীয় পণ্যের ব্যবহার নিশ্চিত করার উদ্দেশ্যে ব্যবসায়ী সংগঠনগুলোর প্রস্তাবের ফলস্বরূপ। এই নিষেধাজ্ঞার পেছনে নদী থেকে পানি ব্যবহারের কারণে কৃষকদের সমস্যার কথা উল্লেখ করা হয়েছে, এবং দশ লাখেরও বেশি দোকানদার এই নিষেধাজ্ঞা মেনে চলবে বলে আশা করা হচ্ছে।",16.39,10.17,16.39
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","ঢাকার সোহরাওয়ার্দী হাসপাতালে ডেঙ্গুর প্রকোপ বৃদ্ধি পাওয়ায় রোগীর চাপ বেড়ে গেছে, ফলে অনেক বেসরকারি হাসপাতাল রোগী ভর্তি নিতে পারছে না। স্বাস্থ্য অধিদপ্তরের মহাপরিচালক আবুল কালাম আজাদ জানান, পরিস্থিতি সামাল দিতে ১০টি তদারকি টিম গঠন করা হয়েছে এবং চিকিৎসকদের উপর চাপ কমানোর জন্য বিভিন্ন পদক্ষেপ নেওয়া হচ্ছে। সরকারি হাসপাতালে রোগীদের ভর্তি করা হচ্ছে, তবে বিছানা সংকটের কারণে অনেককে বারান্দায় বা মেঝেতে থাকতে হচ্ছে।",15.0,5.13,12.5
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,"ডোনাল্ড ট্রাম্প টুইটারে অভিযোগ করেছেন যে ডাকযোগে ভোটে ব্যাপক কারচুপি হবে, যা টুইটার ""ভিত্তিহীন"" বলে চিহ্নিত করেছে এবং একটি সতর্কবার্তা যুক্ত করেছে। ট্রাম্প টুইটারের এই পদক্ষেপকে বাক স্বাধীনতার হরণ হিসেবে উল্লেখ করেছেন, যদিও টুইটার বিভ্রান্তিকর তথ্যের বিরুদ্ধে তাদের নীতিমালা জোরদার করছে।",12.9,0.0,6.45
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","বাংলাদেশে বন্যার প্রকোপ বৃদ্ধি পাচ্ছে, বিশেষ করে কুড়িগ্রামের চিলমারী উপজেলায়। বন্যা পূর্বাভাস কেন্দ্র জানিয়েছে, আগামী ২৪ ঘণ্টার মধ্যে ফরিদপুর, মানিকগঞ্জ, মুন্সিগঞ্জ এবং রাজবাড়ীসহ চারটি জেলা প্লাবিত হতে পারে। বর্তমানে দেশের ২২টি জেলা বন্যায় আক্রান্ত, এবং ত্রাণ সহায়তার প্রস্তুতি নেওয়া হচ্ছে।",48.48,28.12,42.42
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","ভারতের স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং মাওবাদী সমস্যা সমাধানে সামরিক কৌশল ও উন্নয়নের সমন্বয়ের কথা বলেছেন, তবে শান্তি-আলোচনার সম্ভাবনা নেই বলে জানান। বিশেষজ্ঞরা মনে করেন, মাওবাদী বিদ্রোহ মূলত অনুন্নয়ন ও অপশাসনের সমস্যা, যা সমাধানের জন্য শান্তিপূর্ণ আলোচনা জরুরি। সরকারের বর্তমান নীতি হচ্ছে আরও জোরদার অভিযান এবং উন্নয়ন, কিন্তু এর ফলে সমস্যার মূলোৎপাটন হবে কিনা তা নিয়ে সন্দেহ রয়েছে।",15.38,4.49,8.79
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"বিএনপি নেতারা খালেদা জিয়ার মুক্তির দাবিতে বিদেশী কূটনীতিকদের সাথে নিয়মিত বৈঠক করছেন, যাতে দেশের রাজনৈতিক পরিস্থিতি সম্পর্কে তাদের অবহিত করা যায়। বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর জানান, তারা আন্তর্জাতিক সম্প্রদায়ের কাছে সরকারের কার্যক্রমের উপর চাপ সৃষ্টি করার চেষ্টা করছেন, যাতে একটি অংশগ্রহণমূলক ও অবাধ নির্বাচন নিশ্চিত করা যায়।",21.92,8.45,21.92
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।","বাংলাদেশে করোনাভাইরাসের দ্বিতীয় ঢেউ আসার আশঙ্কা রয়েছে, কারণ গত তিন সপ্তাহ ধরে শনাক্তের সংখ্যা দুই হাজারের নিচে নেমে এসেছে এবং মৃত্যুর সংখ্যা অর্ধেকে কমেছে। প্রধানমন্ত্রী শেখ হাসিনা শীতকালে সংক্রমণের হার বাড়ার সম্ভাবনা নিয়ে উদ্বেগ প্রকাশ করেছেন, এবং জাতীয় কারিগরি পরামর্শক কমিটি সংক্রমণ প্রতিরোধের জন্য প্রস্তুতি নিতে এবং স্বাস্থ্যবিধি মেনে চলার আহ্বান জানিয়েছে। বিশেষজ্ঞরা সতর্ক করেছেন যে শীতকালে করোনাভাইরাসের সংক্রমণ বাড়তে পারে, তাই জনগণকে নিরাপদ থাকার জন্য মাস্ক ব্যবহার এবং সামাজিক দূরত্ব মেনে চলার পরামর্শ দেওয়া হয়েছে।",23.64,7.41,18.18
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,"পল্টনে বিএনপি কার্যালয়ের সামনে মনোনয়নপত্র সংগ্রহ করতে যাওয়া নেতা-কর্মীদের সাথে পুলিশের সংঘর্ষের পর বিএনপি সমর্থকরা পুলিশের একটি গাড়িতে আগুন দেয় এবং কয়েকটি গাড়ি ভাঙচুর করে। বিএনপি নেতারা অভিযোগ করেছেন যে পুলিশ বিনা উস্কানিতে তাদের ওপর হামলা করেছে, जबकि পুলিশ বিএনপি নেতাকর্মীদের বিরুদ্ধে সহিংসতার অভিযোগ তুলেছে। বর্তমানে এলাকায় পুলিশ মোতায়েন রয়েছে এবং যান চলাচল বন্ধ রয়েছে।",16.44,5.63,10.96
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"বাংলাদেশে আইনশৃঙ্খলা বাহিনীর সঙ্গে বন্দুকযুদ্ধের ঘটনা বৃদ্ধি পাচ্ছে, যেখানে জুলাই মাসের ২৬ তারিখ পর্যন্ত ৩৬ জন নিহত হয়েছেন। জানুয়ারি থেকে জুন মাস পর্যন্ত মোট ১৪৩ জনের মৃত্যু হয়েছে, এবং জুলাই পর্যন্ত এই সংখ্যা ১৭৯-এ পৌঁছেছে। মানবাধিকার সংস্থাগুলি অভিযোগ করছে যে, বিচার বহির্ভূত হত্যাকাণ্ডের ঘটনা বাড়ছে এবং আইনের শাসনের অভাব এই পরিস্থিতির জন্য দায়ী।",19.75,2.53,12.35
