id,reference,generated,rouge1,rouge2,rougeL
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","Although it remains unclear if Donald Trump personally wrote his inaugural address, he shared a photo claiming to have drafted it at Mar-a-Lago. The speech featured a populist message vowing to transfer power from Washington to the people while addressing citizens neglected by the elite. Despite some critics mocking the speech, commentators warn that such reactions underestimate the rhetoric's resonance with his supporters.",24.72,6.9,13.48
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Welsh minister Eluned Morgan admitted it would be legally difficult to stop the UK from negotiating the NHS into trade deals following Donald Trump's controversial remarks. Labour AM Alun Davies criticized her comments, asserting the Welsh Government lacks the legal power to shape international trade agreements post-Brexit. Morgan urged for a formal concordat to ensure Welsh consultation on future deals, though she acknowledged the political unlikelihood of NHS inclusion.",36.0,10.2,24.0
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia (UEA) apologized unreservedly after accidentally sending a spreadsheet containing sensitive personal details of 42 students to nearly 300 undergraduates. The email revealed health issues and bereavements used for academic extensions, leaving students feeling sick and horrified. An inquiry is underway to investigate the breach, which the Students' Union described as a shocking and unacceptable failure.",25.64,2.63,15.38
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","Statistics reveal that only 1.9% of girls chose A-level physics in 2016 compared to 6.5% of boys, with 44% of schools sending no female students to the subject. The Institute of Physics asserts that no intrinsic ability differences explain this disparity, noting that the gap restricts women's access to essential future careers. To combat this inequality, the IoP is hosting a summit to debate strategies for increasing girls' uptake of the subject.",26.0,8.16,18.0
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","John Allan, the CBI chairman, suggested a second referendum as a solution if politicians cannot agree on Brexit. He criticized MPs for their lack of solidarity compared to European nations, urging them to prioritize national interest over party politics to break the current impasse. Although this is not the CBI's official position, Allan insisted the withdrawal agreement is non-negotiable and politicians must find a settlement.",30.93,8.42,20.62
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","Health Minister Stephen Donnelly condemned reckless behavior after footage emerged showing patrons violating COVID-19 guidelines at Berlin D2, including a man pouring drinks into mouths. While a witness noted that safety measures were eventually ignored, venue owner Jay Bourke expressed mortification but claimed CCTV proved most guests complied with strict protocols. Donnelly warned that such actions threaten the public's solidarity and sacrifice in efforts to suppress the virus.",22.22,4.55,20.0
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Labour MP Emily Thornberry sparked a controversy after tweeting a picture of a house flying a St George's flag during a campaign in Rochester. Conservative leaders condemned the image as an attack on patriotism, while critics accused the Labour Party of being hijacked by a north London liberal elite. Thornberry later defended her actions, claiming she was impressed by the patriotic display rather than mocking the homeowner.",24.24,8.25,18.18
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"Emergency services attended a fire in a static caravan near Mintlaw on Wednesday morning, discovering the body of a 77-year-old man. The Scottish Fire and Rescue Service extinguished the flames, and Police Scotland is investigating to establish the full circumstances. A report will be submitted to the procurator fiscal regarding the incident.",26.47,12.12,17.65
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"Lewis Williams, 20, died from a shotgun wound in Mexborough, prompting an investigation that has led to eight arrests. Two boys aged 16 and 17 have been charged with murder, while two additional men were arrested on Friday on suspicion of murder and assisting an offender. Four other men previously detained in connection with the death have been released on bail.",21.92,8.45,19.18
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"Actor Brian Blessed has officially become a candidate for Cambridge University Chancellor after a student Facebook campaign secured the required 50 senate nominations to challenge Lord Sainsbury. This development transforms the selection process into a competitive race rather than a straightforward handover from the retiring Duke of Edinburgh. Local shopkeeper Abdul Arain is also contesting the prestigious role, stating he is running for the benefit of the entire Cambridge community.",23.81,12.2,21.43
entertainment-arts-26706229,The BBC is to feature more arts stories in programmes like The One Show in a bid to make the subject less elitist.,"BBC Director General Tony Hall will announce new arts commissions, including a modern revival of the landmark 1960s series ""Civilisation."" Hall warns that the arts risk marginalisation for future generations unless engagement with young people is improved through updated programming. To support this goal, the BBC plans to integrate arts content into popular shows and has increased its arts funding by 20%.",23.53,2.41,11.76
education-56213402,"Poorer students in England are up to three A-level grades behind more affluent students, research suggests.","The Education Policy Institute found that poorer students aged 16-19 are, on average, three A-level grades behind their wealthier peers, creating a significant ""disadvantage gap."" Despite government funding of over £530m, the study indicates no progress in closing this disparity between 2017 and 2019, with the gap being most pronounced in A-levels. Researchers warn the pandemic may worsen the inequality, though regional data shows London students are faring better than those in areas like Knowsley.",23.16,10.75,18.95
business-38842721,"Hang out the bunting - well, at least buy a couple of party poppers.","The Bank of England has significantly upgraded its economic growth forecasts, reversing the severe pessimism that followed the Brexit referendum. This positive trend contrasts sharply with the August report, which had slashed growth projections to 0.8% for 2017. However, the central bank warns that negative Brexit effects have not fully vanished despite the improved outlook.",5.8,0.0,5.8
uk-politics-36836980,All MPs are to be automatically offered additional security in their constituency offices and homes.,"Following the death of MP Jo Cox, MPs have decided to automatically provide enhanced security measures to all members without requiring individual applications. This decision strips the parliamentary expenses watchdog Ipsa of its authority over security decisions to eliminate delays associated with previous risk assessments. Consequently, MPs will now immediately receive safety equipment such as panic buttons and additional locks rather than waiting for approval.",17.5,0.0,12.5
uk-politics-12657524,"With no money left in the government coffers, the ""only strategy"" for growth is to get behind Britain's entrepreneurs, David Cameron has said.","Prime Minister David Cameron declared war on ""enemies of enterprise"" and pledged that the upcoming Budget would be the most pro-growth in a generation. Chancellor George Osborne confirmed the plan includes 10 new enterprise zones, while Cameron called for a fundamental rebalancing of the economy toward new industries and investment. However, Labour criticized the speech as mere rhetoric, accusing the government of offering ""warm words but no action"" to support small businesses.",20.62,4.21,8.25
technology-19700791,Warcraft's online gaming world is about to get a bit bigger.,"World of Warcraft's fourth expansion, Mists of Pandaria, launches this Tuesday featuring an Asian-themed continent and playable pandas to revitalize the game. This release comes as Blizzard attempts to reverse a sharp decline in subscriber numbers, which dropped to nine million in 2012 due to growing competition from other titles. The expansion aims to regain players, particularly in China where half of the remaining subscriber base resides.",14.81,2.53,12.35
business-40666236,The European Central Bank (ECB) has insisted there is still a long way to go before it can call a halt to its economic stimulus programme.,"ECB President Mario Draghi dismissed speculation that the bank would soon reduce its bond-buying programme, confirming that monthly purchases will continue at 60bn euros and interest rates remain at 0%. He stated that while the recovery is robust, premature tightening could jeopardize the process before inflation targets are met. However, financial markets reacted sharply to hints of potential QE reduction discussions later in the year, highlighting their sensitivity to the central bank's guidance.",19.8,2.02,9.9
business-22689987,South Africa's economic growth slowed sharply in the first three months of the year.,"South Africa's economy grew by just 0.9% in the first quarter, raising concerns that the continent's largest economy is struggling to regain momentum after growing 2.5% last year. The Reserve Bank kept interest rates at 5% in response to the slowdown, which experts blame on maintenance closures in crucial industries like petroleum. Meanwhile, a weak rand is pushing inflation up, adding to the economic instability the country has faced since the 2009 recession.",19.57,8.89,17.39
business-42226808,"The UK's biggest bioethanol producer has stopped production at its East Yorkshire plant, blaming government ""inaction"".","Vivergo Fuels warned that production at its Hull facility may not restart due to rising losses caused by government delays in mandating 10% bioethanol in petrol. The company argues that increasing the current 5% fuel blend to 10% would significantly cut carbon emissions, but the regulatory uncertainty now threatens thousands of workers and farmers. Although the Department for Transport states it is on track to double biofuels supply by 2020, Vivergo insists the delay has jeopardized its investment and business viability.",14.29,4.17,8.16
technology-54360612,US President Donald Trump's re-election campaign is running hundreds of Facebook advertisements pushing an unfounded conspiracy theory that Joe Biden cheated during the first US presidential debate.,"The Trump campaign has released advertisements claiming Joe Biden used a hidden earpiece and refused drug tests during the debate. These allegations are false, as the Biden campaign rejected them and the ads rely on doctored images from 2019. Despite being baseless, the campaign has circulated at least 15 versions of the ads to millions of users on social media.",20.22,4.6,17.98
