id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","জাতিসংঘের এক কর্মকর্তা অভিযোগ করেছেন, চীনের জিনজিয়াং অঞ্চলকে কার্যত বিশাল বন্দীশিবিরে পরিণত করে উইগুর ও অন্যান্য মুসলিমদের গণহারে আটক, রাজনৈতিক আনুগত্যে বাধ্য এবং নির্যাতন করা হচ্ছে; মানবাধিকার সংস্থাগুলোও একই অভিযোগ করেছে। চীন এসব শিবিরের অস্তিত্ব অস্বীকার করে দাবি করছে, শিনজিয়াংয়ে সব জাতিগোষ্ঠী শান্তিতে বসবাস করছে, যদিও ধর্মীয় কট্টরবাদ দমনের নামে মসজিদ ও ইসলামী স্থাপনা নিয়ন্ত্রণের ঘটনাও ঘটছে।",18.6,0.0,9.3
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,"তামিলনাডুতে ব্যবসায়ী সংগঠনগুলোর আহ্বানে বুধবার থেকে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ করা হয়েছে। নদীর পানি অতিরিক্ত ব্যবহার, কৃষকদের সেচ-সংকট, স্থানীয় ব্যবসার উন্নয়ন ও স্বাস্থ্যঝুঁকির কথা উল্লেখ করে সংগঠনগুলো এই উদ্যোগ নিয়েছে; রাজ্যের ১০ লাখের বেশি দোকানদার এতে সাড়া দেবে বলে আশা করা হচ্ছে।",20.34,17.54,20.34
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","ডেঙ্গুর প্রকোপে রাজধানীর সরকারি-বেসরকারি হাসপাতালগুলোতে রোগীর চাপ বেড়ে গেছে; বেসরকারি হাসপাতালগুলোর অনেকটির শয্যা পূর্ণ হওয়ায় রোগীদের ফিরিয়ে দেওয়া হচ্ছে, আর সরকারি হাসপাতালে শয্যার অভাবে বারান্দা বা মেঝেতে চিকিৎসা নিতে হচ্ছে। পরিস্থিতি মোকাবিলায় স্বাস্থ্য অধিদপ্তর অতিরিক্ত শয্যা ও হাসপাতাল প্রস্তুত, ১০টি তদারকি দল গঠন, পরীক্ষার মূল্য নির্ধারণ এবং চিকিৎসক-নার্স বাড়ানোর উদ্যোগ নিয়েছে; ঢাকার বাইরেও ডেঙ্গু রোগীদের চিকিৎসা পর্যবেক্ষণ করা হচ্ছে।",5.06,0.0,2.53
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,"ডোনাল্ড ট্রাম্প কোনো প্রমাণ ছাড়াই ডাকযোগে ভোটে ব্যাপক কারচুপির অভিযোগ করলে টুইটার পোস্টটিতে সতর্কবার্তা দিয়ে দাবিটিকে ভিত্তিহীন বলে তথ্য যাচাইয়ের লিংক দেয়। ট্রাম্প এর প্রতিবাদে টুইটারের বিরুদ্ধে বাকস্বাধীনতা হরণের ও নির্বাচনে হস্তক্ষেপের অভিযোগ করেন, जबकि টুইটার জানায় বিভ্রান্তিকর তথ্য ঠেকাতে তারা নতুন নীতিমালা প্রয়োগ করছে। महामारीর কারণে ডাকযোগে ভোটের প্রসঙ্গটি গুরুত্বপূর্ণ হয়ে উঠলেও, এ পদ্ধতিতে ব্যাপক কারচুপির দাবির পক্ষে প্রমাণ পাওয়া যায়নি।",6.98,0.0,4.65
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","দেশের ২২টি জেলা বন্যাকবলিত, যার মধ্যে কুড়িগ্রামের চিলমারী উপজেলা প্রায় সম্পূর্ণ প্লাবিত হয়েছে এবং মানুষ নৌকায় আশ্রয়কেন্দ্রে যাচ্ছে। উজানের পানি ও একযোগে ভারী বৃষ্টির কারণে ফরিদপুর, মানিকগঞ্জ, মুন্সিগঞ্জ ও রাজবাড়ী আগামী ২৪ ঘণ্টায় প্লাবিত হওয়ার আশঙ্কা রয়েছে; ফরিদপুরে আশ্রয়কেন্দ্র, মেডিকেল টিম ও ত্রাণের প্রস্তুতি নেওয়া হয়েছে। নতুন করে ভারী বৃষ্টি না হলে পানি দুই সপ্তাহ পর্যন্ত থাকতে পারে।",21.43,7.32,14.29
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","ছত্তিশগড়ে মাওবাদী হামলায় ২৫ সিআরপিএফ জওয়ান নিহতের পর বৈঠকে স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানান, মাওবাদী দমনে দ্রুত কোনো ‘শর্টকাট’ নেই এবং শান্তি-আলোচনার কথা সরকার ভাবছে না; বরং দীর্ঘমেয়াদি নিরাপত্তা অভিযান ও উন্নয়ন চালিয়ে যাওয়া হবে। বিশেষজ্ঞরা অবশ্য মনে করেন, অনুন্নয়ন, দুর্বল শাসন ও যোগাযোগব্যবস্থার ঘাটতি দূর করার পাশাপাশি মানবাধিকার রক্ষা ও শান্তি-আলোচনাই সমস্যার স্থায়ী সমাধানের পথ।",15.38,4.49,13.19
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"খালেদা জিয়ার মুক্তি ও নির্বাচনসহ দেশের রাজনৈতিক পরিস্থিতি তুলে ধরতে বিএনপি গত সাত মাস ধরে যুক্তরাষ্ট্র, ভারতসহ ১৯টি দেশের কূটনীতিকদের সঙ্গে নিয়মিত বৈঠক করছে। বিএনপির দাবি, এটি নালিশ নয়, বরং গণতন্ত্রের সংকট ও রাজনৈতিক পরিস্থিতি সম্পর্কে আন্তর্জাতিক সম্প্রদায়কে অবহিত করার উদ্যোগ; বিশ্লেষকদের মতে, এর মাধ্যমে সরকারকে অবাধ ও অংশগ্রহণমূলক নির্বাচন এবং খালেদা জিয়ার মুক্তির বিষয়ে চাপ দেওয়াই বিএনপির লক্ষ্য।",14.46,4.94,12.05
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।","বাংলাদেশে সংক্রমণ ও মৃত্যুর হার কমলেও শীতকালে করোনাভাইরাসের দ্বিতীয় ঢেউ আসার আশঙ্কা করছেন প্রধানমন্ত্রী ও জাতীয় কারিগরি পরামর্শক কমিটি। কমিটি বেশি পরীক্ষা, দ্রুত শনাক্তকরণ ও আইসোলেশন, বিদেশফেরতদের স্ক্রিনিং-কোয়ারেন্টিন এবং হাসপাতাল প্রস্তুত রাখার পরামর্শ দিয়েছে; টিকা না আসা পর্যন্ত মাস্ক, হাত ধোয়া ও সামাজিক দূরত্ব মানার ওপর জোর দেওয়া হয়েছে।",21.43,7.32,16.67
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,"পল্টনে বিএনপি কার্যালয়ে মনোনয়নপত্র সংগ্রহকে কেন্দ্র করে নেতা-কর্মীদের সঙ্গে পুলিশের সংঘর্ষ, ধাওয়া-পাল্টা ধাওয়া, পুলিশের গাড়িতে আগুন ও কয়েকটি গাড়ি ভাঙচুরের ঘটনা ঘটেছে। পুলিশ ও বিএনপি উভয় পক্ষই একে অপরকে উসকানি ও হামলার জন্য দায়ী করেছে; বিএনপি নেতা রুহুল কবির রিজভী ঘটনাটিকে পরিকল্পিত উল্লেখ করে শান্তিপূর্ণভাবে নির্বাচনী প্রস্তুতির আহ্বান জানিয়েছেন। ঘটনার পর এলাকায় পুলিশ মোতায়েন রয়েছে এবং যান চলাচল বন্ধ।",17.95,5.26,15.38
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"বাংলাদেশে কথিত ‘বন্দুকযুদ্ধে’ নিহতের সংখ্যা বাড়ছে; আইন ও সালিশ কেন্দ্রের হিসাবে ২৭ জুলাই পর্যন্ত এ ধরনের ঘটনায় ১৭৯ জন এবং অধিকারের হিসাবে জানুয়ারি-জুনে ১৪৬ জন নিহত হয়েছেন। আইনশৃঙ্খলা বাহিনী আত্মরক্ষার কথা বললেও মানবাধিকার সংস্থাগুলো এসব ঘটনাকে বিচারবহির্ভূত হত্যা হিসেবে চিহ্নিত করে আইনের শাসনের অভাব ও দায়মুক্তির সংস্কৃতিকে দায়ী করছে; নিহতদের পরিবারের অনেকেই দাবি করছেন, স্বজনদের গ্রেপ্তারের পর পরিকল্পিতভাবে হত্যা করা হয়েছে।",11.24,2.3,8.99
