model	language	samples	relevance	completeness	faithfulness	coherence	conciseness	fluency	overall_avg
gemini_3.1_flash_lite_bengali	bengali	50	2.6	2.66	1.26	4.46	3.22	4.94	3.19
gpt_4o_mini_bengali	bengali	50	2.54	2.56	1.3	4.36	3.06	4.8	3.1
gemini_2.5_flash_bengali	bengali	50	2.56	2.6	1.12	4.56	2.68	4.96	3.08
deepseek_v4_flash_bengali	bengali	50	2.46	2.5	1.1	4.46	3.0	4.94	3.08
gpt_5.6_luna_bengali	bengali	50	2.36	2.7	1.18	4.44	2.7	4.96	3.06
llama_3.3_70b_bengali	bengali	50	2.52	2.42	1.24	4.26	2.96	4.78	3.03
qwen_3.5_flash_bengali	bengali	50	2.54	2.4	1.14	4.22	3.0	4.82	3.02
qwen_3.6_27b_bengali	bengali	50	2.5	2.7	1.14	4.32	2.58	4.72	2.99
gpt_5.6_luna_english	english	50	3.16	3.54	1.24	4.76	3.36	5.0	3.51
gemini_3.1_flash_lite_english	english	50	3.04	3.48	1.34	4.82	3.14	5.0	3.47
deepseek_v4_flash_english	english	50	2.92	3.38	1.3	4.78	3.06	5.0	3.41
qwen_3.5_flash_english	english	50	2.96	3.26	1.28	4.7	3.16	5.0	3.39
llama_3.3_70b_english	english	50	3.02	3.36	1.24	4.78	2.8	5.0	3.37
qwen_3.6_27b_english	english	50	2.86	3.26	1.24	4.76	3.1	5.0	3.37
gemini_2.5_flash_english	english	50	2.9	3.28	1.2	4.8	3.0	5.0	3.36
gpt_4o_mini_english	english	50	2.84	3.26	1.18	4.74	2.9	5.0	3.32
