id,reference,generated,rouge1,rouge2,rougeL
news-45155508,"জাতিসংঘের মানবাধিকার বিষয়ক কমিটি জেনেভাতে চীনের ওপর দুদিনের যে বিশেষ সভা করছে, সেখানে অভিযোগ করা হয়, কট্টরপন্থী সন্দেহে ১০ লাখ চীনা উইগুর মুসলিমকে বিভিন্ন রাজনৈতিক শিবিরে আটকে রাখা হয়েছে।","জাতিসংঘের জাতিগত বৈষম্য বিষয়ক কমিটির এক সদস্য চীনকে উইগুরদের জন্য বিশাল বন্দীশিবির গঠনের অভিযোগ এনেছেন। আন্তর্জাতিক মানবাধিকার সংস্থাগুলো দাবি করেছে, চীন উইগুর মুসলিমদের গণহারে আটক করে অনির্দিষ্টকালের জন্য বন্দীশিবিরে রাখছে এবং তাদেরকে চীনা কম্যুনিস্ট পার্টির প্রতি আনুগত্য প্রকাশে বাধ্য করছে। চীন সরকার এই অভিযোগ অস্বীকার করে বলেছে যে, তাদের দেশে এমন কোনো বন্দীশিবিরের অস্তিত্ব নেই।",19.05,0.0,9.52
news-39127107,ভারতের দক্ষিণাঞ্চলীয় রাজ্য তামিলনাডুর ব্যবসায়ীরা সেখানে কোকা-কোলা ও পেপসি বিক্রি নিষিদ্ধ ঘোষণা করেছে।,"ভারতের তামিলনাডু রাজ্যে স্থানীয় ব্যবসায়ী সংগঠনের প্রস্তাবের ভিত্তিতে বুধবার থেকে কোকা-কোলা ও পেপসি নিষিদ্ধ ঘোষণা করা হয়েছে। পানীয় কোম্পানিগুলোর অতিরিক্ত পানি ব্যবহার, কৃষকদের সমস্যা এবং স্বাস্থ্যের ক্ষতিকর প্রভাবের কারণে এই নিষেধাজ্ঞা জারি করা হয়েছে। গত মাসে 'জাল্লিকাটু' নিষিদ্ধের বিরুদ্ধে বিক্ষোভের প্রেক্ষাপটে স্থানীয় ঐতিহ্য ও পণ্যের পক্ষে এই পদক্ষেপটি নেওয়া হয়েছে।",21.54,12.7,21.54
news-49141918,"স্বাস্থ্য অধিদপ্তরের হিসাব মতে, গত ২৪ ঘণ্টায় দেশের বিভিন্ন হাসপাতালে ডেঙ্গুজ্বরে আক্রান্ত হয়ে প্রায় ৭০০ রোগী ভর্তি হয়েছেন।","সেপ্টেম্বর পর্যন্ত ডেঙ্গুর প্রকোপ বৃদ্ধি পাওয়ায় রাজধানীর সরকারি-বেসরকারি সব ধরনের হাসপাতালে রোগী ভর্তির জন্য ব্যাপক চাপ তৈরি হয়েছে। স্বাস্থ্য অধিদপ্তরের মহাপরিচালক আবুল কালাম আজাদ জানান, আতঙ্কের কারণে অনেকেই অপ্রয়োজনে হাসপাতালে ভর্তি হচ্ছেন, ফলে অনেক হাসপাতালে জায়গা শেষ হয়ে রোগীরা ফিরে যেতে বাধ্য হচ্ছেন। পরিস্থিতি নিয়ন্ত্রণে স্বাস্থ্য অধিদপ্তর বেসরকারি হাসপাতাল কর্তৃপক্ষের সাথে বৈঠক করে পরীক্ষার মূল্য নির্ধারণসহ বিভিন্ন পদক্ষেপ গ্রহণের পরিকল্পনা করছে।",17.5,2.56,10.0
news-52808250,এই প্রথম সামাজিক মাধ্যমের বিশাল প্রতিষ্ঠান টুইটার আমেরিকান প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের কোন পোস্টের সত্যতা নিয়ে প্রশ্ন তুলে তা নিয়ে সতর্কবার্তা দিল।,"ডোনাল্ড ট্রাম্প ডাকযোগে ব্যালটপত্রে কারচুপির ভিত্তিহীন দাবি করে টুইটারকে ২০২০ নির্বাচনে নাক গলানোর অভিযোগ তোলেন। টুইটার সতর্কবার্তা যুক্ত করলে ট্রাম্প সামাজিক মাধ্যমটিকে বাক স্বাধীনতা দমনকারী বলে সমালোচনা করেন। টুইটারের নতুন নীতিমালায় বিভ্রান্তিমূলক তথ্যের বিরুদ্ধে ব্যবস্থা নেওয়া হয়েছে, কিন্তু ট্রাম্পের অন্য ষড়যন্ত্র তত্ত্বের পোস্টে সতর্কবার্তা দেওয়া হয়নি।",14.93,0.0,8.96
news-49047323,"বাংলাদেশের বন্যা পূর্বাভাস এবং সতর্কীকরণ কেন্দ্র বলছে, আগামী ২৪ ঘণ্টায় দেশের মধ্যাঞ্চলের আরো চারটি জেলা প্লাবিত হতে পারে। এ নিয়ে মোট ২২টি জেলা বন্যায় আক্রান্ত হবে।","সারা দেশে বন্যার প্রকোপ ছড়িয়ে পড়লেও বর্তমানে কুড়িগ্রামের চিলমারী উপজেলা সবচেয়ে বেশি প্লাবিত এলাকা হিসেবে চিহ্নিত হয়েছে। বন্যা পূর্বাভাস ও সতর্কীকরণ কেন্দ্রের তথ্য অনুযায়ী, উজান থেকে আসা পানির কারণে আগামী ২৪ ঘণ্টার মধ্যে ফরিদপুরসহ মধ্যাঞ্চলের চারটি জেলা বন্যায় প্লাবিত হওয়ার সম্ভাবনা রয়েছে। ফরিদপুরকে সবচেয়ে বেশি ক্ষতিগ্রস্ত হওয়ার আশঙ্কা থাকায় সেখানে দুর্যোগকালীন প্রস্তুতি ও আশ্রয়কেন্দ্রের ব্যবস্থা আগে থেকেই নেওয়া হয়েছে।",23.53,9.64,21.18
news-39844487,"ভারতে মাওবাদী বিদ্রোহীদের মোকাবিলার পথ খুঁজতে সরকারের এক উচ্চ পর্যায়ের বৈঠকের পর স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং জানিয়েছেন, এই সঙ্কটের কোনও চটজলদি সমাধান সম্ভব নয়, সর্বাত্মক উন্নয়ন আর আগ্রাসী নীতি বজায় রেখেই মাওবাদীদের কাবু করা সম্ভব।","ভারতের স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং মাওবাদী প্রভাবিত রাজ্যগুলোর মুখ্যমন্ত্রী ও পুলিশ প্রধানদের সাথে বৈঠকে স্পষ্ট করেন যে মাওবাদী দমনে সরকারি কৌশলে বড় কোনো পরিবর্তন আসছে না। তিনি জানান, মাওবাদীদের বিরুদ্ধে কোনো শর্টকাট বা জাদুবলে সমাধান নেই, বরং স্বল্প থেকে দীর্ঘমেয়াদে নানা ধরনের হাতিয়ার ব্যবহার করতে হবে। অন্যদিকে, বিশেষজ্ঞরা মনে করেন সামরিক পথ ছাড়াও উন্নয়ন ও শাসন ব্যবস্থার উন্নতিই এই সমস্যার মূল সমাধান হতে পারে।",18.56,4.21,10.31
news-45408278,বাংলাদেশে বিরোধী দল- বিএনপি'র কেন্দ্রীয় নেতারা দুই সপ্তাহের ব্যবধানে আজ (মঙ্গলবার) আবারও বিদেশি কূটনীতিকদের সাথে বৈঠক করে দেশের রাজনৈতিক পরিস্থিতি নিয়ে কথা বলেছেন।,"খালেদা জিয়ার মুক্তির দাবিতে বিএনপি নেতারা গত সাত মাস ধরে ১৯টি দেশের কূটনীতিকদের সাথে নিয়মিত বৈঠক করছেন। দলের পক্ষ থেকে জানানো হয়েছে, আন্তর্জাতিক সম্প্রদায়কে দেশের রাজনৈতিক পরিস্থিতি ও গণতন্ত্রের অবস্থা সম্পর্কে অবহিত করারই এটি মূল উদ্দেশ্য। তবে বিশ্লেষকদের মতে, আগামী নির্বাচনের আগে সরকারের উপর চাপ সৃষ্টি করে অবাধ নির্বাচন নিশ্চিত করার প্রত্যাশা থেকেই এই বৈঠকগুলো আয়োজন করা হচ্ছে।",21.95,7.5,19.51
news-54230851,"বাংলাদেশে জনসাধারণের মধ্যে 'শৈথিল্য' আসার কারণে করোনাভাইরাস সংক্রমণের দ্বিতীয় সংক্রমণ বা সেকেন্ড ওয়েভ আসতে পারে উল্লেখ করে কোভিড-১৯ সংক্রান্ত জাতীয় কারিগরি পরামর্শক কমিটি বলছে, এটা মোকাবেলার জন্য রোডম্যাপ তৈরি ও পূর্ণ প্রস্তুতি নিতে।",বাংলাদেশে দৈনিক করোনা শনাক্ত ও মৃত্যুর সংখ্যা কমে আসলেও শীতকালে দ্বিতীয় ঢেউয়ের আশঙ্কা প্রকাশ করেছেন প্রধানমন্ত্রী। জাতীয় কারিগরি পরামর্শক কমিটি সংক্রমণের হার নিম্নমুখী হলেও এখনো তা স্বস্তিকর পর্যায়ে না থাকায় রোডম্যাপ তৈরির প্রয়োজনীয়তা তুলে ধরেছে। স্বাস্থ্য মন্ত্রণালয় কমিটির সুপারিশের ভিত্তিতে আজ একটি জরুরি বৈঠক করবে।,22.78,7.79,17.72
news-46205974,রাজধানী ঢাকার নয়া পল্টন এলাকায় বিএনপি কার্যালয়ের কাছে দলটির নেতাকর্মীদের সাথে পুলিশের ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।,"পল্টনে বিএনপি কার্যালয়ে মনোনয়নপত্র সংগ্রহের সময় বিএনপি সমর্থকদের সাথে পুলিশের সংঘর্ষে গাড়িতে আগুন দেয়া ও ভাঙচুরের ঘটনা ঘটে। পুলিশের বিনা উস্কানিতে আক্রমণের অভিযোগের জবাবে বিএনপি যুগ্ম-মহাসচিব দাবি করেন যে, এটি পরিকল্পিত সহিংসতা এবং দলটি এর সাথে জড়িত নয়। এদিকে বিএনপি নেতাকর্মীদের শান্তিপূর্ণভাবে নির্বাচনী প্রস্তুতি নেয়ার আহ্বান জানিয়েছে দলটি।",15.15,3.12,12.12
news-53549847,বাংলাদেশে জুলাই মাসে কথিত 'বন্দুকযুদ্ধের' ঘটনা অনেক বেড়ে গেছে বলে মানবাধিকার সংস্থাগুলো বলছে। গত মার্চ মাস থেকে দেশটিতে করোনাভাইরাসের কারণে অনেক কিছু সীমিতভাবে চললেও কমেনি 'বন্দুকযুদ্ধের' ঘটনা।,"১. আইন ও সালিশ কেন্দ্রের তথ্য অনুযায়ী, গত জানুয়ারি থেকে জুলাই মাসের ২৬ তারিখ পর্যন্ত বাংলাদেশে আইনশৃঙ্খলা বাহিনীর কথিত বন্দুকযুদ্ধে ১৭৯ জনের মৃত্যু হয়েছে।
২. গত একমাসে কক্সবাজারে সবচেয়ে বেশি বন্দুকযুদ্ধের ঘটনা ঘটেছে এবং নিহতদের বিরুদ্ধে ডাকাতি, মাদক ও হত্যার মতো গুরুতর অভিযোগ রয়েছে।
৩. করোনা পরিস্থিতির কারণে আদালতের কাজে বিলম্ব হওয়া এই হত্যাকাণ্ডের একটি সম্ভাব্য কারণ হতে পারে বলে সংশ্লিষ্টরা মনে করছেন।",20.0,2.27,11.11
