id,precision,recall,banglasummeval_f1
140427_pg_bd_heat_dhaka_ac,46.666666666666664,33.33333333333333,38.88888888888888
news-54230851,57.89473684210527,50.0,53.65853658536586
news-45155508,52.94117647058824,66.66666666666666,59.01639344262295
news-54239981,63.1578947368421,50.0,55.813953488372086
news-56880849,83.33333333333334,33.33333333333333,47.61904761904762
news-56080104,44.44444444444444,100.0,61.53846153846153
news-49047323,61.904761904761905,50.0,55.31914893617022
news-52808250,42.857142857142854,33.33333333333333,37.5
news-46205974,63.63636363636363,50.0,56.0
news-39127107,61.111111111111114,66.66666666666666,63.768115942028984
news-39844487,50.0,33.33333333333333,40.0
news-45408278,47.82608695652174,66.66666666666666,55.69620253164557
news-49141918,72.72727272727273,33.33333333333333,45.71428571428571
news-53549847,60.0,66.66666666666666,63.1578947368421
news-42949518,62.5,66.66666666666666,64.51612903225806
news-56878093,70.58823529411765,50.0,58.53658536585366
news-49144997,40.909090909090914,50.0,45.00000000000001
news-49709690,69.23076923076923,83.33333333333334,75.63025210084034
news-51083336,47.61904761904761,66.66666666666666,55.55555555555554
news-56728594,75.0,66.66666666666666,70.58823529411764
news-47301727,63.1578947368421,33.33333333333333,43.63636363636364
news-46679946,53.57142857142857,83.33333333333334,65.21739130434783
news-45932627,75.0,33.33333333333333,46.153846153846146
news-48499557,61.53846153846154,83.33333333333334,70.79646017699115
news-42139703,52.94117647058824,66.66666666666666,59.01639344262295
news-56546869,53.57142857142857,66.66666666666666,59.4059405940594
news-46002945,50.0,50.0,50.0
news-52668365,37.03703703703704,50.0,42.5531914893617
news-48081272,52.38095238095239,0.0,0.0
news-40377323,68.42105263157895,83.33333333333334,75.14450867052025
news-48151325,57.14285714285714,33.33333333333333,42.10526315789473
news-48742054,52.94117647058824,50.0,51.42857142857144
news-55754177,50.0,33.33333333333333,40.0
news-48290970,52.63157894736842,83.33333333333334,64.51612903225808
news-52345995,63.1578947368421,50.0,55.813953488372086
news-48488145,46.666666666666664,66.66666666666666,54.90196078431372
news-52220120,55.172413793103445,83.33333333333334,66.39004149377593
news-46175088,77.77777777777779,83.33333333333334,80.45977011494253
news-55427149,50.0,16.666666666666664,25.0
news-49173643,56.00000000000001,66.66666666666666,60.86956521739131
news-55075456,68.75,83.33333333333334,75.34246575342466
news-50441857,52.63157894736842,66.66666666666666,58.8235294117647
news-56602385,59.09090909090909,50.0,54.166666666666664
news-55806686,66.66666666666666,33.33333333333333,44.44444444444444
news-56766795,75.86206896551724,33.33333333333333,46.315789473684205
news-50280907,50.0,50.0,50.0
news-54898675,59.09090909090909,16.666666666666664,26.0
news-51381825,58.333333333333336,50.0,53.84615384615385
news-41902828,65.21739130434783,50.0,56.60377358490566
news-51629780,47.82608695652174,33.33333333333333,39.285714285714285
news-44246998,50.0,16.666666666666664,25.0
news-45332030,38.095238095238095,50.0,43.24324324324324
news-49362977,46.15384615384615,83.33333333333334,59.40594059405941
news-51217515,68.42105263157895,83.33333333333334,75.14450867052025
news-48872060,54.83870967741935,50.0,52.30769230769231
news-48835708,58.333333333333336,16.666666666666664,25.925925925925924
news-42326655,61.904761904761905,66.66666666666666,64.19753086419753
news-46578414,66.66666666666666,83.33333333333334,74.07407407407408
news-46972950,45.45454545454545,16.666666666666664,24.39024390243902
news-48303883,52.38095238095239,50.0,51.162790697674424
news-46874688,42.10526315789473,66.66666666666666,51.61290322580644
news-50798626,61.53846153846154,66.66666666666666,64.0
news-55242258,48.148148148148145,50.0,49.056603773584904
news-40652345,58.82352941176471,33.33333333333333,42.5531914893617
news-54159266,50.0,66.66666666666666,57.14285714285714
news-47885378,52.63157894736842,83.33333333333334,64.51612903225808
news-53929704,70.58823529411765,83.33333333333334,76.4331210191083
news-38298663,66.66666666666666,66.66666666666666,66.66666666666666
news-45011087,42.857142857142854,100.0,59.99999999999999
news-44220246,77.77777777777779,83.33333333333334,80.45977011494253
news-45083152,75.0,50.0,60.0
news-44672332,80.0,33.33333333333333,47.058823529411754
news-49956427,90.0,50.0,64.28571428571429
140925_mk_islamic_scholar_is_isis_isil_open_letter,52.0,50.0,50.98039215686274
160530_indian_visa_new_system,57.89473684210527,50.0,53.65853658536586
news-48904836,54.166666666666664,50.0,52.0
160605_chittaggong_sp_wife_killed,64.70588235294117,83.33333333333334,72.8476821192053
news-55467465,77.27272727272727,50.0,60.714285714285715
news-52621715,64.0,33.33333333333333,43.83561643835616
news-45387880,65.0,33.33333333333333,44.06779661016949
news-48795028,70.0,83.33333333333334,76.08695652173914
news-40867894,44.0,33.33333333333333,37.93103448275862
news-45007894,55.00000000000001,33.33333333333333,41.50943396226415
news-44118154,56.25,83.33333333333334,67.16417910447763
news-45744692,66.66666666666666,50.0,57.14285714285714
news-52829564,70.58823529411765,66.66666666666666,68.57142857142857
news-48808226,50.0,33.33333333333333,40.0
news-44842983,33.33333333333333,66.66666666666666,44.44444444444444
news-57063900,54.54545454545454,50.0,52.173913043478265
news-46797204,56.52173913043478,66.66666666666666,61.17647058823529
news-39614808,83.33333333333334,83.33333333333334,83.33333333333334
news-55761742,68.96551724137932,83.33333333333334,75.47169811320755
news-48324350,63.63636363636363,66.66666666666666,65.11627906976744
news-47648503,63.63636363636363,83.33333333333334,72.16494845360825
news-51264653,63.1578947368421,66.66666666666666,64.86486486486486
news-40319155,58.82352941176471,33.33333333333333,42.5531914893617
160418_traficked_bangladeshi_women_unlawfully_kept_in_indian_jails,57.14285714285714,50.0,53.33333333333333
news-52518908,71.42857142857143,33.33333333333333,45.45454545454545
news-56931107,50.0,50.0,50.0
news-47766524,50.0,100.0,66.66666666666667
