id,reference,generated,rouge1,rouge2,rougeL
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","In his inaugural address, Donald Trump emphasized a populist message, claiming to transfer power from Washington, D.C., back to the people, while painting a bleak picture of America plagued by crime and economic decline. The speech drew mixed reactions, with some praising its authenticity and resonance with his supporters, while others criticized its angry tone and questioned the feasibility of his ambitious plans. Notably, it sparked comparisons to a speech by the villain Bane from ""The Dark Knight Rises,"" highlighting its dramatic and confrontational style.",18.35,5.61,14.68
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Eluned Morgan, the Welsh Minister for International Relations, acknowledged the legal challenges in preventing the UK Government from including the NHS in future trade deals, following Donald Trump's comments about potential negotiations. Labour AM Alun Davies criticized the Welsh Government's approach, arguing that it lacks a solid legal foundation for holding the UK Government accountable in trade matters, and called for a more effective intergovernmental structure. Morgan agreed that the current framework is inadequate and emphasized the need for better collaboration on trade agreements.",29.57,10.62,17.39
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia mistakenly sent an email to 298 students containing sensitive details about 42 classmates' health issues and personal circumstances, leading to widespread distress among those affected. The university has issued an unreserved apology and initiated an inquiry into the data breach, while also offering support to the impacted students.",28.17,2.9,16.9
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","In 2016, only 1.9% of girls in England chose A-level physics, compared to 6.5% of boys, with 44% of schools sending no girls to study the subject, highlighting a persistent gender imbalance. The Institute of Physics (IoP) emphasizes that this disparity limits career opportunities for girls in essential fields like artificial intelligence and aerospace, and warns that closing the gender gap in physics could take centuries without significant intervention.",29.17,14.89,22.92
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","John Allan, speaking personally and not on behalf of the CBI, criticized UK politicians for their inability to reach an agreement on Brexit, suggesting they should learn from the unity shown by European countries. He proposed that if a resolution cannot be found, a second referendum may be necessary to break the current impasse, while other business leaders echoed the need for urgent political collaboration to avoid further economic uncertainty.",32.0,4.08,20.0
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","Footage from Berlin D2 in Dublin showed a man pouring drinks into patrons' mouths, violating COVID-19 guidelines that require people to remain seated at tables. Health Minister Stephen Donnelly expressed outrage over the incident, emphasizing the sacrifices made by the Irish public, while restaurateur Jay Bourke stated he was ""mortified"" but believed the footage did not fully represent the venue's adherence to health measures. The incident has drawn criticism from various officials, with calls for police action against such behavior as COVID-19 cases rise in Ireland.",20.18,3.74,7.34
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Labour MP Emily Thornberry resigned from the shadow cabinet after facing backlash for a tweet featuring a house adorned with British flags, which was perceived as elitist and dismissive of working-class patriotism. The incident drew criticism from both Conservative leaders and her own party members, leading to her resignation on the same day as a by-election where Labour aimed to shift focus away from internal controversies. Thornberry later described the house as ""remarkable,"" but the damage to her political standing was already done.",27.59,10.53,20.69
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"Emergency services responded to a fire in a static caravan in the East Mains of Pitfour area near Mintlaw, where they discovered the body of a 77-year-old man. The Scottish Fire and Rescue Service extinguished the flames, and Police Scotland is conducting an investigation to determine the circumstances surrounding the incident. A report will be submitted to the procurator fiscal.",23.68,10.81,15.79
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"Lewis Williams, 20, was fatally shot on January 11 in Mexborough, leading to eight arrests in connection with his death. Two boys, aged 16 and 17, have been charged with his murder, while a 20-year-old and a 49-year-old were arrested recently on suspicion of murder and assisting an offender, respectively. Four other men have been released on bail following their arrests.",23.38,10.67,12.99
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"Actor Brian Blessed has secured enough nominations to run for chancellor of the University of Cambridge, competing against supermarket heir Lord Sainsbury and local shopkeeper Abdul Arain, who is also a candidate. Blessed's nomination was propelled by a Facebook campaign, while Arain is advocating for community values in the face of a new Sainsbury's store opening nearby. The election will take place in October, with candidates needing 50 nominations from the university senate by June 17 to remain in the race.",20.62,8.42,18.56
entertainment-arts-26706229,The BBC is to feature more arts stories in programmes like The One Show in a bid to make the subject less elitist.,"BBC director general Tony Hall will announce new arts commissions, including a revival of the landmark 1960s series ""Civilisation,"" aimed at engaging children and young people with the arts. The new series will seek an authoritative presenter and utilize modern digital technology to provide a fresh perspective on the history of art. Hall emphasized the importance of arts in the BBC's future and announced a 20% increase in funding for arts coverage.",18.75,2.13,12.5
education-56213402,"Poorer students in England are up to three A-level grades behind more affluent students, research suggests.","The Education Policy Institute (EPI) reports a significant ""disadvantage gap"" in educational attainment between poorer and more affluent students aged 16-19, with disadvantaged students lagging behind by an average of three A-level grades, and up to five grades in certain areas. The study highlights that these disparities are exacerbated by lower GCSE grades and fewer qualifications pursued by poorer students, and calls for increased funding and targeted support to address the widening gap, particularly in the wake of pandemic-related learning losses.",27.72,14.14,13.86
business-38842721,"Hang out the bunting - well, at least buy a couple of party poppers.","The Bank of England has significantly upgraded its growth forecasts for the UK economy, reflecting improved confidence since the post-Brexit referendum period, with projections now showing a smaller economic contraction than previously expected. Despite this optimism, the Bank warns that Brexit will still negatively impact the economy, predicting it will be 1.5% smaller by 2019 compared to a scenario where the UK remained in the EU. Factors such as stimulus measures, robust consumer confidence, and a strengthening global economy are contributing to this more positive outlook, although challenges like falling business investment and rising inflation remain.",5.41,0.0,3.6
