id,reference,generated,rouge1,rouge2,rougeL
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","President-elect Trump claimed to have written his own inaugural address, which featured his characteristic populist themes of transferring power from Washington to the people. The speech drew comparisons to a Batman villain’s monologue on social media, but commentators warned that such mockery underestimates how powerfully Trump’s message of rejecting the coastal elite resonates with his supporters. Trump vowed to end what he described as “American carnage,” emphasizing the struggles of those who feel ignored by the nation’s progress.",22.86,1.94,11.43
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Eluned Morgan, the Welsh international relations minister, conceded that legally it would be ""difficult for us to stop"" the UK from including the NHS in post-Brexit trade deals, though she insisted it was politically unlikely. Her comments drew criticism from Labour AM Alun Davies, who dismissed the threat of legal action as ""the last breath before you're thrown out of the pub"" and doubted the Welsh Government would have a legal basis to block such agreements. The exchange followed President Trump's remarks that the NHS could be ""on the table"" in US-UK trade talks, which he later rowed back on after backlash.",28.15,10.53,14.81
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia (UEA) accidentally emailed a spreadsheet containing the personal health and family details of 42 students to 298 undergraduates. Student Megan Baynes expressed horror upon seeing her own private information shared, noting that some cases were extremely personal. The UEA has issued an unreserved apology and launched an inquiry into the data breach, which the students' union called a shocking and unacceptable violation.",25.88,0.0,11.76
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","Despite modest gains, only 1.9% of girls in England chose A-level physics in 2016 compared to 6.5% of boys, with 44% of schools sending no girls at all to study the subject. The Institute of Physics (IoP) emphasizes that physics skills are crucial for future careers like AI and aerospace, and there is no evidence of intrinsic ability differences behind the gender gap. The IoP is hosting a summit to address this persistent inequality, warning that such gendered choices close off rewarding career paths for girls.",26.55,10.81,15.93
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","John Allan, speaking in a personal capacity, criticized UK politicians for failing to reach a Brexit agreement, noting that 27 EU countries cooperate more readily. He suggested that if politicians cannot resolve the impasse, the only option is a second referendum to break the deadlock. Allan urged MPs to put national interest above party or personal interests, calling for an end to ""red lines"" and a lesson from European solidarity.",24.0,8.16,18.0
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","A video from Berlin D2 in Dublin showed a man standing on a bar pouring drinks into people's mouths, violating COVID-19 guidelines that require seated service. Health Minister Stephen Donnelly condemned the ""reckless actions,"" stating they undermine the sacrifices of the majority. Venue co-owner Jay Bourke said he was ""absolutely mortified"" but argued the footage did not fully reflect overall compliance, noting the venue operated at under 20% capacity with most guidelines followed.",20.83,4.26,12.5
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Labour MP Emily Thornberry sparked controversy by tweeting a photo of a house covered in English flags during a by-election campaign, which was widely interpreted as sneering at patriotism. Conservative figures, including Eric Pickles and David Cameron, condemned her actions, accusing her of looking down on hardworking, patriotic people. Thornberry later defended the tweet, claiming she simply found the house's flag display remarkable and unprecedented.",24.49,8.33,16.33
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"A fire in a static caravan in East Mains of Pitfour, near Mintlaw, was reported to emergency services shortly after 07:00 on Wednesday and extinguished by the Scottish Fire and Rescue Service. The body of a 77-year-old man was discovered inside the caravan. Police Scotland are investigating the circumstances, and a report will be submitted to the procurator fiscal.",26.32,10.81,15.79
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"Lewis Williams, 20, died from a shotgun wound on 11 January in Mexborough. Two more men, aged 20 and 49, were arrested on Friday, bringing the total arrests to eight, while two boys aged 16 and 17 have already been charged with murder. The 20-year-old is held on suspicion of murder, and the 49-year-old on suspicion of assisting an offender and ammunition possession; four other men remain on bail.",18.82,2.41,11.76
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"A student-led Facebook campaign has successfully secured enough nominations for actor Brian Blessed to be a candidate for Cambridge University's chancellor position, a role currently held by the retiring Duke of Edinburgh. Blessed will compete against supermarket heir Lord Sainsbury, the university's official candidate, and local shopkeeper Abdul Arain for the prestigious post. The election, once expected to be a straightforward handover, has become a race following Blessed's confirmation as a candidate.",22.22,9.09,15.56
entertainment-arts-26706229,The BBC is to feature more arts stories in programmes like The One Show in a bid to make the subject less elitist.,"BBC Director General Tony Hall announced a new collaboration with the Tate and the revival of the landmark 1960s arts series ""Civilisation,"" which will feature a new presenter and modern digital technology. He warned that the arts risk becoming marginalized for future generations unless more effort is made to engage children and young people. The BBC also plans to integrate arts content into popular programs like *The One Show* and *Simon Mayo's show*, following a 20% increase in arts funding announced last October.",28.04,7.62,16.82
education-56213402,"Poorer students in England are up to three A-level grades behind more affluent students, research suggests.","The Education Policy Institute found that students from poorer families are on average three A-level grades behind their wealthier peers by age 19, with gaps reaching up to five grades in some areas like Knowsley and Stockton-on-Tees. The disadvantage gap is larger in A-levels than vocational qualifications, and no progress was made between 2017 and 2019, with researchers warning the pandemic will likely worsen it. The Department for Education noted it provided over £530 million in 2020–21 to support college students.",25.24,9.9,15.53
business-38842721,"Hang out the bunting - well, at least buy a couple of party poppers.","The Bank of England has significantly upgraded its UK growth forecasts, now more optimistic than before the Brexit referendum. After slashing projections in its post-referendum ""Gloomflation Report,"" the Bank has issued two substantial upgrades, including a small improvement for 2018. However, the Bank still believes negative Brexit effects have not disappeared and may crystallize as the exit process progresses.",8.22,0.0,5.48
uk-politics-36836980,All MPs are to be automatically offered additional security in their constituency offices and homes.,"Following the murder of Labour MP Jo Cox, heightened security concerns prompted MPs to overhaul the process for installing protective measures. Previously, MPs had to apply through the expenses watchdog Ipsa, which caused delays, but a new decision by the Estimates Committee now automatically provides all MPs with extra security like panic buttons and locks. The change removes Ipsa's authority over security decisions, streamlining the process that previously required police risk assessments and written estimates.",13.19,2.25,10.99
uk-politics-12657524,"With no money left in the government coffers, the ""only strategy"" for growth is to get behind Britain's entrepreneurs, David Cameron has said.","Prime Minister David Cameron declared war on the ""enemies of enterprise"" at his party's spring conference, vowing that the upcoming Budget would be the most pro-growth in a generation. He promised to rebalance the economy by supporting small businesses, boosting enterprise, and championing the ingenuity of the British people. Labour criticized his speech as ""warm words but no action,"" while Chancellor George Osborne also pledged a pro-growth Budget featuring new enterprise zones for deprived areas.",19.61,2.0,7.84
technology-19700791,Warcraft's online gaming world is about to get a bit bigger.,"World of Warcraft's new expansion, *Mists of Pandaria*, launches on Tuesday, introducing the Asian-themed continent of Pandaria and its panda-like inhabitants in an effort to reverse the game's declining subscriber base, which has fallen from 12 million in 2010 to 9 million in June 2012, with about half of players in China. Blizzard has tried other strategies to retain players, including a free-to-play early stage and a Diablo 3 promotion, but faces growing competition from titles like *Star Wars: The Old Republic* and *Guild Wars 2*. The expansion, the fourth for the game, adds the Pandaren race and a new character class to attract both existing and new players.",11.02,1.6,9.45
business-40666236,The European Central Bank (ECB) has insisted there is still a long way to go before it can call a halt to its economic stimulus programme.,"ECB President Mario Draghi dismissed speculation of an imminent end to the bank's €60 billion monthly bond-buying program, emphasizing that the recovery is robust but not yet sufficient to meet inflation targets. While the ECB kept its key interest rate at 0%, Draghi warned against any premature tightening that could jeopardize the recovery. Despite his cautious stance, a hint that the ECB might discuss reducing QE in the autumn caused the euro to jump to a 14-month high against the dollar.",16.36,0.0,10.91
