id,precision,recall,banglasummeval_f1
news-52808250,66.66666666666666,16.666666666666664,26.666666666666668
news-45155508,44.44444444444444,66.66666666666666,53.33333333333333
news-39127107,91.66666666666666,100.0,95.65217391304347
news-56080104,62.5,83.33333333333334,71.42857142857143
news-56880849,80.0,50.0,61.53846153846154
news-49141918,58.82352941176471,50.0,54.054054054054056
news-53549847,76.47058823529412,66.66666666666666,71.23287671232876
140427_pg_bd_heat_dhaka_ac,61.111111111111114,33.33333333333333,43.13725490196078
news-54230851,57.14285714285714,66.66666666666666,61.53846153846153
news-49047323,55.55555555555556,50.0,52.63157894736842
news-54239981,80.0,66.66666666666666,72.72727272727272
news-42949518,47.368421052631575,50.0,48.648648648648646
news-45408278,76.47058823529412,66.66666666666666,71.23287671232876
news-46205974,68.42105263157895,33.33333333333333,44.82758620689655
news-39844487,50.0,33.33333333333333,40.0
news-49144997,55.00000000000001,33.33333333333333,41.50943396226415
news-56878093,58.82352941176471,33.33333333333333,42.5531914893617
news-51083336,75.0,100.0,85.71428571428571
news-46679946,68.75,83.33333333333334,75.34246575342466
news-47301727,58.333333333333336,66.66666666666666,62.22222222222222
news-56728594,58.333333333333336,83.33333333333334,68.62745098039217
news-49709690,56.25,83.33333333333334,67.16417910447763
news-45932627,64.28571428571429,50.0,56.25000000000001
news-56546869,62.5,66.66666666666666,64.51612903225806
news-48499557,90.0,83.33333333333334,86.53846153846155
news-52668365,47.82608695652174,33.33333333333333,39.285714285714285
news-42139703,50.0,83.33333333333334,62.5
news-40377323,69.23076923076923,100.0,81.81818181818181
news-48081272,53.333333333333336,0.0,0.0
news-46002945,61.904761904761905,66.66666666666666,64.19753086419753
news-48151325,71.42857142857143,33.33333333333333,45.45454545454545
news-55754177,56.25,50.0,52.94117647058823
news-48742054,41.17647058823529,50.0,45.16129032258064
news-48290970,52.63157894736842,50.0,51.282051282051285
news-52345995,62.5,50.0,55.55555555555556
news-49173643,62.5,83.33333333333334,71.42857142857143
news-52220120,57.14285714285714,83.33333333333334,67.79661016949153
news-48488145,71.42857142857143,50.0,58.82352941176471
news-46175088,92.85714285714286,83.33333333333334,87.83783783783785
news-56602385,64.70588235294117,83.33333333333334,72.8476821192053
news-50441857,37.5,50.0,42.857142857142854
news-55806686,66.66666666666666,33.33333333333333,44.44444444444444
news-55075456,68.75,66.66666666666666,67.6923076923077
news-55427149,50.0,50.0,50.0
news-56766795,61.111111111111114,33.33333333333333,43.13725490196078
news-50280907,73.68421052631578,83.33333333333334,78.2122905027933
news-54898675,52.94117647058824,33.33333333333333,40.9090909090909
news-41902828,60.0,50.0,54.54545454545455
news-51381825,66.66666666666666,33.33333333333333,44.44444444444444
news-49362977,60.0,83.33333333333334,69.76744186046513
news-51629780,60.86956521739131,33.33333333333333,43.07692307692307
news-45332030,52.94117647058824,50.0,51.42857142857144
news-44246998,70.0,33.33333333333333,45.16129032258064
news-51217515,81.25,83.33333333333334,82.27848101265823
news-48872060,52.0,33.33333333333333,40.62499999999999
news-46972950,50.0,66.66666666666666,57.14285714285714
news-42326655,53.84615384615385,50.0,51.851851851851855
news-48835708,68.18181818181817,66.66666666666666,67.41573033707864
news-48303883,47.368421052631575,66.66666666666666,55.38461538461538
