Language,Model,Count,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,chrF,BERTScore-R,BanglaSummEval Factuality,BanglaSummEval Coverage,BanglaSummEval F1,Judge Relevance,Judge Completeness,Judge Faithfulness,Judge Coherence,Judge Conciseness,Judge Fluency,Judge Overall Avg
English,Deepseek V4 Flash,1012,21.43,5.28,14.12,1.82,29.34,88.83,,,,2.92,3.38,1.3,4.78,3.06,5.0,3.41
English,Gemini 2.5 Flash,1012,22.13,5.43,14.72,1.9,29.62,88.9,,,,2.9,3.28,1.2,4.8,3.0,5.0,3.36
English,Gemini 3.1 Flash Lite,1011,22.94,5.89,15.32,2.14,30.39,89.25,,,,3.04,3.48,1.34,4.82,3.14,5.0,3.47
English,GPT-4o Mini,1012,21.16,5.03,13.95,1.7,28.78,88.73,,,,2.84,3.26,1.18,4.74,2.9,5.0,3.32
English,GPT-5.6 Luna,1012,24.12,5.87,15.96,2.06,31.51,89.02,,,,3.16,3.54,1.24,4.76,3.36,5.0,3.51
English,LLaMA 3.3 70B (Groq),1012,20.38,5.71,14.0,1.94,28.72,88.87,,,,3.02,3.36,1.24,4.78,2.8,5.0,3.37
English,Qwen 3.5 Flash,1012,21.99,4.93,14.48,1.66,29.46,88.77,,,,2.96,3.26,1.28,4.7,3.16,5.0,3.39
English,Qwen 3.6 27B,1012,21.31,4.81,13.89,1.44,27.17,88.81,,,,2.86,3.26,1.24,4.76,3.1,5.0,3.37
Bengali,Deepseek V4 Flash,1012,15.0,4.19,11.22,1.62,33.39,87.86,64.14,56.17,57.34,2.46,2.5,1.1,4.46,3.0,4.94,3.08
Bengali,Gemini 2.5 Flash,1012,15.05,4.32,11.27,1.64,33.11,87.93,61.65,60.83,58.43,2.56,2.6,1.12,4.56,2.68,4.96,3.08
Bengali,Gemini 3.1 Flash Lite,1012,14.04,3.88,10.93,1.42,32.15,87.88,52.83,52.5,49.73,2.6,2.66,1.26,4.46,3.22,4.94,3.19
Bengali,GPT-4o Mini,1012,15.63,4.53,11.83,1.74,33.74,87.8,63.38,55.33,56.73,2.54,2.56,1.3,4.36,3.06,4.8,3.1
Bengali,GPT-5.6 Luna,1012,14.01,3.71,10.65,1.27,32.53,87.57,58.87,56.17,54.84,2.36,2.7,1.18,4.44,2.7,4.96,3.06
Bengali,LLaMA 3.3 70B (Groq),1012,16.23,5.29,12.44,1.9,33.3,87.94,65.78,57.5,58.28,2.52,2.42,1.24,4.26,2.96,4.78,3.03
Bengali,Qwen 3.5 Flash,1012,14.74,4.09,11.16,1.56,33.5,87.72,61.48,57.17,56.15,2.54,2.4,1.14,4.22,3.0,4.82,3.02
Bengali,Qwen 3.6 27B,1012,13.5,3.57,10.11,0.98,28.38,87.44,60.49,59.0,56.41,2.5,2.7,1.14,4.32,2.58,4.72,2.99
